I_count,I_max,I_median,I_min,R_AE4_count,R_AE4_max,R_AE4_median,R_AE4_min,R_coupled_count,R_coupled_max,R_coupled_median,R_coupled_min,R_pump_AE4_count,R_pump_AE4_max,R_pump_AE4_median,R_pump_AE4_min,R_pump_WT_count,R_pump_WT_max,R_pump_WT_median,R_pump_WT_min,calcium_uM,expected_pairs,pump_scale,routing_family,valid_pairs
5,1.3510115727050753,1.3466578771547941,1.3420881483837128,5,1.605409370724817,1.577830286511841,1.5451101724881626,5,0.9978497257683562,0.98124604501573,0.9662775104214344,5,0.8454161194873326,0.8374808921108283,0.8327985351992223,5,0.6299259258830904,0.6218958105976033,0.6164259078341896,0.25,5,0.5,AE4NA20,5
5,1.3465951181512852,1.3425085580496001,1.3379712932674788,5,1.6278161094022834,1.6016667533895395,1.5714338354786228,5,1.0018020374016976,0.9845661493695363,0.9691360798650891,5,0.8325568520949629,0.8252581123366008,0.8210456725382448,5,0.6214601489367471,0.6154270323381605,0.6101497058333948,0.5,5,0.5,AE4NA20,5
0,,,,0,,,,0,,,,0,,,,0,,,,ALL,30,0.1,ALL,0
0,,,,0,,,,0,,,,0,,,,0,,,,0.1,10,0.1,ALL,0
0,,,,0,,,,0,,,,0,,,,0,,,,0.25,10,0.1,ALL,0
0,,,,0,,,,0,,,,0,,,,0,,,,0.5,10,0.1,ALL,0
0,,,,0,,,,0,,,,0,,,,0,,,,ALL,15,0.1,AE4NA05,0
0,,,,0,,,,0,,,,0,,,,0,,,,0.1,5,0.1,AE4NA05,0
0,,,,0,,,,0,,,,0,,,,0,,,,0.25,5,0.1,AE4NA05,0
0,,,,0,,,,0,,,,0,,,,0,,,,0.5,5,0.1,AE4NA05,0
0,,,,0,,,,0,,,,0,,,,0,,,,ALL,15,0.1,AE4NA20,0
0,,,,0,,,,0,,,,0,,,,0,,,,0.1,5,0.1,AE4NA20,0
0,,,,0,,,,0,,,,0,,,,0,,,,0.25,5,0.1,AE4NA20,0
0,,,,0,,,,0,,,,0,,,,0,,,,0.5,5,0.1,AE4NA20,0
