variant_id,root_id,status,routing_na_fraction,apical_pump_fraction,apical_k_fraction,conductance_scale,converged_starts,distinct_root_count,passes_numerical_gate,passes_wt_gate,boundary_hits,source_supported_boundary_hits,disallowed_boundary_hits,gate_failures,max_abs_scaled_independent_rhs,max_abs_amount_rhs_fmol_s,max_abs_volume_rhs_pL_s,max_abs_regulatory_rhs_s_inv,max_abs_omitted_charge_rhs_fmol_equivalent_s,jacobian_rank,jacobian_nullity,jacobian_smallest_singular_value,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,v_apical_mV,v_basolateral_mV,na_l_mM,k_l_mM,cl_l_mM,tic_l_mM,ph_l,volume_l_pL,rest_outflow_pL_s
G2_ASYMMETRIC_APICAL_K_HEAVY_G10,G2_ASYMMETRIC_APICAL_K_HEAVY_G10:M00,WT_REST_PASS_R0_CONTROL_ONLY,0.05,0.1,0.3,10.0,6,1,True,True,,,,,1.8756697583999227e-12,3.4888758548845544e-14,1.8756697583999227e-16,0.0,3.464242781525684e-14,13,0,1.1091335052311528,14.946239608073062,109.95182244206076,50.09999999999977,5.083110811777227,4.399860663642838,6.909999999999998,1.3000000000000602,-62.748736527975566,-73.06302305595662,145.07961647016734,5.218239043487946,138.23146522015918,12.71195808778231,7.361279852828717,0.10169160196935574,0.0003383203938711471
G2_ASYMMETRIC_APICAL_K_BIASED_G10,G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,WT_REST_PASS_R0_CONTROL_ONLY,0.1,0.1,0.3,10.0,6,1,True,True,,,,,1.3379054808471125e-12,9.71445146547012e-17,1.3379054808471125e-16,0.0,8.847089727481716e-17,13,0,1.253719065919429,14.522018034030017,111.35062853653271,50.099999999999994,6.208121014959755,5.373651777484208,6.91,1.3000000000000003,-62.59361512308187,-72.89389583368046,144.92387331902987,5.299589512662457,138.1442908025998,12.873183643372117,7.2751299091045585,0.1016843515582563,0.0003368703116512578
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10,G2_ASYMMETRIC_APICAL_MODERATE_NA_G10:M00,WT_REST_PASS_R0_CONTROL_ONLY,0.2,0.1,0.3,10.0,5,1,True,True,,,,,7.253312533928025e-12,1.5959455978986625e-16,7.253312533928025e-16,0.0,1.7520707107365752e-16,13,0,1.431850373425749,13.846468655231474,113.6554464142839,50.100000000000016,8.088864702780118,7.001593893415017,6.910000000000001,1.3,-62.30315339404743,-72.57342177126775,144.65633637392244,5.4434185189208915,137.99175725335087,13.148778227927481,7.161396954598999,0.10167061886919862,0.00033412377383972296
G2_ASYMMETRIC_APICAL_EQUAL_G10,,NO_EXACT_INTERIOR_ROOT,0.5,0.1,0.3,10.0,0,0,False,False,nhe1_capacity_fmol_s,,nhe1_capacity_fmol_s,no exact non-boundary charge-manifold root,0.06455671835680077,0.0032278359178400384,1.598770036715172e-11,0.0,0.009540200483981218,,,,,,,,,,,,,,,,,,,
G2_ASYMMETRIC_APICAL_NA_BIASED_G10,,NO_EXACT_INTERIOR_ROOT,0.9,0.1,0.3,10.0,0,0,False,False,nhe1_capacity_fmol_s,,nhe1_capacity_fmol_s,no exact non-boundary charge-manifold root,0.29786351491930235,0.014893175745965118,1.9967687903523282e-10,0.0,0.03914080383939764,,,,,,,,,,,,,,,,,,,
G2_LOW_APICAL_K_HEAVY_G30,,NO_EXACT_INTERIOR_ROOT,0.05,0.03,0.03,30.0,0,0,False,False,,,,no exact non-boundary charge-manifold root,0.39886557287762886,0.019943278643881443,5.986346380355747e-09,0.0,0.009612296247861824,,,,,,,,,,,,,,,,,,,
G2_LOW_APICAL_K_BIASED_G30,,NO_EXACT_INTERIOR_ROOT,0.1,0.03,0.03,30.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,0.39871294287247616,0.019935647143623808,6.0172581225971696e-09,0.0,0.009402175449057587,,,,,,,,,,,,,,,,,,,
G2_LOW_APICAL_MODERATE_NA_G30,,NO_EXACT_INTERIOR_ROOT,0.2,0.03,0.03,30.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,0.39941290820302233,0.019970645410151117,6.02746281651214e-09,0.0,0.00941995944782478,,,,,,,,,,,,,,,,,,,
G2_LOW_APICAL_EQUAL_G30,,NO_EXACT_INTERIOR_ROOT,0.5,0.03,0.03,30.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,0.39994877374357585,0.019997438687178792,6.0363354610474575e-09,0.0,0.009427280763766178,,,,,,,,,,,,,,,,,,,
G2_LOW_APICAL_NA_BIASED_G30,,NO_EXACT_INTERIOR_ROOT,0.9,0.03,0.03,30.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,0.3995134401043496,0.01997567200521748,6.031790607296302e-09,0.0,0.009406883667358265,,,,,,,,,,,,,,,,,,,
G2_BALANCED_APICAL_K_HEAVY_G30,,NO_EXACT_INTERIOR_ROOT,0.05,0.1,0.1,30.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,0.4280678571820998,0.02140339285910499,6.949800142601499e-09,0.0,0.008758312384146774,,,,,,,,,,,,,,,,,,,
G2_BALANCED_APICAL_K_BIASED_G30,,NO_EXACT_INTERIOR_ROOT,0.1,0.1,0.1,30.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,0.42864940756270925,0.021432470378135463,6.958584482176684e-09,0.0,0.0087733645715337,,,,,,,,,,,,,,,,,,,
G2_BALANCED_APICAL_MODERATE_NA_G30,,NO_EXACT_INTERIOR_ROOT,0.2,0.1,0.1,30.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,0.4293198607147711,0.021465993035738554,6.969058234359074e-09,0.0,0.008788506257766776,,,,,,,,,,,,,,,,,,,
G2_BALANCED_APICAL_EQUAL_G30,,NO_EXACT_INTERIOR_ROOT,0.5,0.1,0.1,30.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,0.42976472065944793,0.021488236032972396,6.977371978583377e-09,0.0,0.008791349533090013,,,,,,,,,,,,,,,,,,,
G2_BALANCED_APICAL_NA_BIASED_G30,,NO_EXACT_INTERIOR_ROOT,0.9,0.1,0.1,30.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,0.4292543756210007,0.021462718781050036,6.971726712102534e-09,0.0,0.00876912877227199,,,,,,,,,,,,,,,,,,,
G2_ASYMMETRIC_APICAL_K_HEAVY_G30,,NO_EXACT_INTERIOR_ROOT,0.05,0.1,0.3,30.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,0.3618718222907963,0.018093591114539814,6.3817050490648855e-09,0.0,0.006508827201487451,,,,,,,,,,,,,,,,,,,
G2_ASYMMETRIC_APICAL_K_BIASED_G30,,NO_EXACT_INTERIOR_ROOT,0.1,0.1,0.3,30.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,0.362436414266456,0.0181218207133228,6.3910696204661985e-09,0.0,0.006521833281152358,,,,,,,,,,,,,,,,,,,
G2_ASYMMETRIC_APICAL_MODERATE_NA_G30,,NO_EXACT_INTERIOR_ROOT,0.2,0.1,0.3,30.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,0.36307008668942126,0.018153504334471063,6.401955191556556e-09,0.0,0.006534343843360604,,,,,,,,,,,,,,,,,,,
G2_ASYMMETRIC_APICAL_EQUAL_G30,,NO_EXACT_INTERIOR_ROOT,0.5,0.1,0.3,30.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,0.3634443453632144,0.01817221726816072,6.4098334195744275e-09,0.0,0.006534924925827739,,,,,,,,,,,,,,,,,,,
G2_ASYMMETRIC_APICAL_NA_BIASED_G30,,NO_EXACT_INTERIOR_ROOT,0.9,0.1,0.3,30.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,0.36290267854766634,0.018145133927383317,6.402966682252445e-09,0.0,0.006514171636596656,,,,,,,,,,,,,,,,,,,
G2_LOW_APICAL_K_HEAVY_G100,,NO_EXACT_INTERIOR_ROOT,0.05,0.03,0.03,100.0,0,0,False,False,,,,no exact non-boundary charge-manifold root,2.1408425619726903,0.10704212809863452,6.016786625851443e-08,0.0,0.06372456088444305,,,,,,,,,,,,,,,,,,,
G2_LOW_APICAL_K_BIASED_G100,,NO_EXACT_INTERIOR_ROOT,0.1,0.03,0.03,100.0,0,0,False,False,,,,no exact non-boundary charge-manifold root,2.2946936822847133,0.11473468411423567,6.375368720424289e-08,0.0,0.06988135288600891,,,,,,,,,,,,,,,,,,,
G2_LOW_APICAL_MODERATE_NA_G100,,NO_EXACT_INTERIOR_ROOT,0.2,0.03,0.03,100.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,2.4407372697730003,0.12203686348865002,6.59450065311918e-08,0.0,0.0781560023881934,,,,,,,,,,,,,,,,,,,
G2_LOW_APICAL_EQUAL_G100,,NO_EXACT_INTERIOR_ROOT,0.5,0.03,0.03,100.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,2.4414576803507577,0.1220728840175379,6.596034359289057e-08,0.0,0.07818789116354331,,,,,,,,,,,,,,,,,,,
G2_LOW_APICAL_NA_BIASED_G100,,NO_EXACT_INTERIOR_ROOT,0.9,0.03,0.03,100.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,2.441490383249261,0.12207451916246306,6.596054083463608e-08,0.0,0.07819111843776545,,,,,,,,,,,,,,,,,,,
G2_BALANCED_APICAL_K_HEAVY_G100,,NO_EXACT_INTERIOR_ROOT,0.05,0.1,0.1,100.0,0,0,False,False,,,,no exact non-boundary charge-manifold root,2.331915953958684,0.1165957976979342,7.41387413637478e-08,0.0,0.06303071501028681,,,,,,,,,,,,,,,,,,,
G2_BALANCED_APICAL_K_BIASED_G100,,NO_EXACT_INTERIOR_ROOT,0.1,0.1,0.1,100.0,0,0,False,False,,,,no exact non-boundary charge-manifold root,2.500248362507336,0.12501241812536681,7.847945582241042e-08,0.0,0.07015842443057999,,,,,,,,,,,,,,,,,,,
G2_BALANCED_APICAL_MODERATE_NA_G100,,NO_EXACT_INTERIOR_ROOT,0.2,0.1,0.1,100.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,2.531700537300902,0.1265850268650451,7.852030180146175e-08,0.0,0.07295266377770947,,,,,,,,,,,,,,,,,,,
G2_BALANCED_APICAL_EQUAL_G100,,NO_EXACT_INTERIOR_ROOT,0.5,0.1,0.1,100.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,2.5321197149169805,0.12660598574584903,7.852706273160214e-08,0.0,0.07297496633194087,,,,,,,,,,,,,,,,,,,
G2_BALANCED_APICAL_NA_BIASED_G100,,NO_EXACT_INTERIOR_ROOT,0.9,0.1,0.1,100.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,2.5320068283795503,0.12660034141897752,7.852610455784913e-08,0.0,0.07296940857617841,,,,,,,,,,,,,,,,,,,
G2_ASYMMETRIC_APICAL_K_HEAVY_G100,,NO_EXACT_INTERIOR_ROOT,0.05,0.1,0.3,100.0,0,0,False,False,,,,no exact non-boundary charge-manifold root,2.3650967956779514,0.11825483978389757,8.486038481311277e-08,0.0,0.06256123737369437,,,,,,,,,,,,,,,,,,,
G2_ASYMMETRIC_APICAL_K_BIASED_G100,,NO_EXACT_INTERIOR_ROOT,0.1,0.1,0.3,100.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,2.4601011794662595,0.12300505897331299,8.625545462831539e-08,0.0,0.0678051304962495,,,,,,,,,,,,,,,,,,,
G2_ASYMMETRIC_APICAL_MODERATE_NA_G100,,NO_EXACT_INTERIOR_ROOT,0.2,0.1,0.3,100.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,2.460446520231668,0.12302232601158342,8.625568720301707e-08,0.0,0.06782608986827683,,,,,,,,,,,,,,,,,,,
G2_ASYMMETRIC_APICAL_EQUAL_G100,,NO_EXACT_INTERIOR_ROOT,0.5,0.1,0.3,100.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,2.4605977679904623,0.12302988839952311,8.625263709890248e-08,0.0,0.06783696053100352,,,,,,,,,,,,,,,,,,,
G2_ASYMMETRIC_APICAL_NA_BIASED_G100,,NO_EXACT_INTERIOR_ROOT,0.9,0.1,0.3,100.0,0,0,False,False,ae4_carrier_amount_fmol_at_unit_rate_gauge,,ae4_carrier_amount_fmol_at_unit_rate_gauge,no exact non-boundary charge-manifold root,2.4604424616615868,0.12302212308307935,8.62538897910799e-08,0.0,0.0678269878900475,,,,,,,,,,,,,,,,,,,
