variant_id,conductance_scale,start_id,optimizer_success,admissible_state,converged_root,max_abs_scaled_residual,max_abs_amount_rhs_fmol_s,max_abs_volume_rhs_pL_s,max_abs_regulatory_rhs_s_inv,max_abs_omitted_charge_rhs_fmol_equivalent_s,cost,optimality,nfev,boundary_hits,message,profile_stage
G2_BALANCED_APICAL_K_BIASED_G10,10.0,latin_000,True,True,True,3.6374982886888674e-13,1.8735013540549517e-16,3.6374982886888674e-17,0.0,4.163336342344337e-17,6.97797386220342e-26,4.087485165824439e-08,615,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_K_BIASED_G10,10.0,latin_001,True,True,True,3.6374982886888674e-13,2.400857290751901e-15,3.6374982886888674e-17,0.0,2.3436114160446664e-15,7.207449294541228e-26,4.087474876558948e-08,1010,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_K_BIASED_G10,10.0,latin_002,True,True,True,2.5196858488563123e-12,1.942890293094024e-16,2.5196858488563123e-16,0.0,5.204170427930421e-18,5.361580801364665e-24,2.2410657250807764e-07,711,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_K_BIASED_G10,10.0,latin_003,True,True,True,2.8194677495485543e-12,2.2898349882893854e-16,2.8194677495485543e-16,0.0,2.6020852139652106e-17,7.583913804648672e-24,3.342470389074718e-07,807,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_MODERATE_NA_G10,10.0,preferred,True,True,True,1.546180718181578e-11,8.326672684688674e-17,1.5461807181815779e-15,0.0,2.992397996059992e-17,1.2262404814104443e-22,1.6874814757688666e-06,237,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_MODERATE_NA_G10,10.0,lower_quartile,True,True,True,1.546180718181578e-11,9.71445146547012e-17,1.5461807181815779e-15,0.0,6.548581121812447e-17,1.2262409455210908e-22,1.6874823690656288e-06,566,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_MODERATE_NA_G10,10.0,upper_quartile,True,True,True,1.3006089261136111e-11,1.1102230246251565e-16,1.3006089261136111e-15,0.0,1.3877787807814457e-17,8.45861330162261e-23,1.401039839438727e-06,543,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_MODERATE_NA_G10,10.0,latin_000,True,True,True,1.872417151882466e-11,1.1796119636642288e-16,1.872417151882466e-15,0.0,4.119968255444917e-17,1.786085894982764e-22,1.750731497252614e-06,576,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_MODERATE_NA_G10,10.0,latin_001,True,False,False,inf,inf,inf,inf,inf,6500000000000.0,0.0,1,,`gtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_MODERATE_NA_G10,10.0,latin_002,True,True,True,1.546180718181578e-11,8.586881206085195e-17,1.5461807181815779e-15,0.0,9.8879238130678e-17,1.2262409604789214e-22,1.6874823943806604e-06,411,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_MODERATE_NA_G10,10.0,latin_003,True,True,True,1.546180718181578e-11,8.326672684688674e-17,1.5461807181815779e-15,0.0,3.642919299551295e-17,1.2262404765960603e-22,1.6874814578381782e-06,1364,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_EQUAL_G10,10.0,preferred,True,True,False,0.06439640213215608,0.003219820106607804,1.6482758680071846e-11,0.0,0.009498662021812336,0.006889680001543399,1.4803740329372488e-06,140,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_BALANCED_APICAL_EQUAL_G10,10.0,lower_quartile,True,True,False,0.06439640167747757,0.0032198200838738783,1.6482987934621218e-11,0.0,0.009498661817956172,0.006889680001543336,8.957144438099764e-07,506,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_BALANCED_APICAL_EQUAL_G10,10.0,upper_quartile,True,True,False,0.06439640235358701,0.0032198201176793506,1.648302013542574e-11,0.0,0.009498661773787408,0.006889680001543322,1.1825557450400136e-06,447,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_BALANCED_APICAL_NA_BIASED_G10,10.0,preferred,True,True,False,0.29808484980227284,0.014904242490113642,1.9934756292526098e-10,0.0,0.03918663125862353,0.11461586174959608,2.1657779111624542e-06,206,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_BALANCED_APICAL_NA_BIASED_G10,10.0,lower_quartile,True,True,False,0.29808486412567947,0.014904243206283974,1.9934930626814423e-10,0.0,0.03918663023764266,0.11461586174959587,3.580571082429255e-06,314,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_BALANCED_APICAL_NA_BIASED_G10,10.0,upper_quartile,True,True,False,0.29808485689787956,0.01490424284489398,1.993501332975614e-10,0.0,0.03918663048250588,0.11461586174959541,4.972348375224765e-06,290,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_ASYMMETRIC_APICAL_K_HEAVY_G10,10.0,preferred,True,True,True,4.33138767907959e-12,9.71445146547012e-17,4.33138767907959e-16,0.0,2.7755575615628914e-17,1.2938836191266804e-23,4.597041830151057e-07,283,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_K_HEAVY_G10,10.0,lower_quartile,True,True,True,1.8756697583999227e-12,3.4888758548845544e-14,1.8756697583999227e-16,0.0,3.464242781525684e-14,2.278802865366309e-24,1.9312497108914668e-07,660,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_K_HEAVY_G10,10.0,upper_quartile,True,True,True,4.33138767907959e-12,1.457167719820518e-15,4.33138767907959e-16,0.0,1.916869440954372e-15,1.3013801583827383e-23,4.5992094009443774e-07,672,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_K_HEAVY_G10,10.0,latin_000,True,True,True,1.8756697583999227e-12,6.7584826624056404e-15,1.8756697583999227e-16,0.0,6.923281392623437e-15,1.785913869335801e-24,1.911699056856713e-07,541,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_K_HEAVY_G10,10.0,latin_001,True,False,False,inf,inf,inf,inf,inf,6500000000000.0,0.0,1,,`gtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_K_HEAVY_G10,10.0,latin_002,True,True,True,1.8756697583999227e-12,9.71445146547012e-17,1.8756697583999227e-16,0.0,6.418476861114186e-17,1.7612204719018354e-24,1.905153843088663e-07,813,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_K_HEAVY_G10,10.0,latin_003,True,True,True,2.985459102156085e-11,7.355227538141662e-16,2.985459102156085e-15,0.0,7.528699885739343e-16,4.485087057135463e-22,3.3552468675654173e-06,1139,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_K_BIASED_G10,10.0,preferred,True,True,True,3.175302902558297e-11,9.71445146547012e-17,3.175302902558297e-15,0.0,1.0842021724855044e-16,5.113232752258623e-22,3.5293632028192072e-06,266,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_K_BIASED_G10,10.0,lower_quartile,True,True,True,2.6841593184223633e-11,8.465450562766819e-16,2.6841593184223633e-15,0.0,7.251144129583054e-16,3.6123535810149777e-22,2.944071577871339e-06,598,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_K_BIASED_G10,10.0,upper_quartile,True,True,True,3.175302902558297e-11,2.949029909160572e-17,3.175302902558297e-15,0.0,3.2959746043559335e-17,5.113232284431697e-22,3.5293634856606133e-06,613,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_K_BIASED_G10,10.0,latin_000,True,True,True,2.193069944395054e-11,6.671468932850644e-13,2.193069944395054e-15,0.0,6.681807884767466e-13,3.7979405144969265e-22,2.4219393767660843e-06,1090,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_K_BIASED_G10,10.0,latin_001,True,True,True,1.3379054808471125e-12,9.71445146547012e-17,1.3379054808471125e-16,0.0,8.847089727481716e-17,8.952799525707632e-25,1.55554177817617e-08,312,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_K_BIASED_G10,10.0,latin_002,True,False,False,inf,inf,inf,inf,inf,6500000000000.0,0.0,1,,`gtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_K_BIASED_G10,10.0,latin_003,True,True,True,3.175302902558297e-11,1.5021621099786664e-16,3.175302902558297e-15,0.0,7.37257477290143e-17,5.113232689123441e-22,3.5293635768811146e-06,641,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10,10.0,preferred,True,True,True,2.4476406144946505e-11,1.5265566588595902e-16,2.4476406144946505e-15,0.0,3.729655473350135e-17,3.0205844604929516e-22,2.279280413281583e-06,238,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10,10.0,lower_quartile,True,True,True,2.4476406144946505e-11,1.5265566588595902e-16,2.4476406144946505e-15,0.0,2.8189256484623115e-17,3.0205844330141843e-22,2.279280413281583e-06,514,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10,10.0,upper_quartile,True,True,True,7.253312533928025e-12,1.5959455978986625e-16,7.253312533928025e-16,0.0,1.7520707107365752e-16,2.63284970097011e-23,7.819458694832999e-07,535,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10,10.0,latin_000,True,True,True,2.4476406144946505e-11,1.6653345369377348e-16,2.4476406144946505e-15,0.0,7.45931094670027e-17,3.020584655133152e-22,2.279280413281583e-06,1346,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10,10.0,latin_001,True,False,False,inf,inf,inf,inf,inf,6500000000000.0,0.0,1,,`gtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10,10.0,latin_002,True,False,False,inf,inf,inf,inf,inf,6500000000000.0,0.0,1,,`gtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10,10.0,latin_003,True,True,True,2.4476406144946505e-11,1.249000902703301e-16,2.4476406144946505e-15,0.0,3.8163916471489756e-17,3.020584595110802e-22,2.279280413281583e-06,411,,`xtol` termination condition is satisfied.,confirm
G2_ASYMMETRIC_APICAL_EQUAL_G10,10.0,preferred,True,True,False,0.06455671992188217,0.0032278359960941083,1.5986932914643925e-11,0.0,0.00954020071779,0.006939209085260944,1.138400695316924e-06,140,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_ASYMMETRIC_APICAL_EQUAL_G10,10.0,lower_quartile,True,True,False,0.06455671970404003,0.0032278359852020017,1.5987576063372644e-11,0.0,0.009540200465153654,0.006939209085260896,2.5712435763192913e-07,512,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_ASYMMETRIC_APICAL_EQUAL_G10,10.0,upper_quartile,True,True,False,0.06455671835680077,0.0032278359178400384,1.598770036715172e-11,0.0,0.009540200483981218,0.00693920908526099,1.4083158547697813e-07,422,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_ASYMMETRIC_APICAL_NA_BIASED_G10,10.0,preferred,True,True,False,0.29786351491930235,0.014893175745965118,1.9967687903523282e-10,0.0,0.03914080383939764,0.11445162316433913,1.7546526758722363e-05,245,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_ASYMMETRIC_APICAL_NA_BIASED_G10,10.0,lower_quartile,True,True,False,0.2978635369362435,0.014893176846812177,1.9967749643415994e-10,0.0,0.03914080440719414,0.11445162316433805,1.415762846443314e-06,288,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_ASYMMETRIC_APICAL_NA_BIASED_G10,10.0,upper_quartile,True,True,False,0.29786353935778054,0.014893176967889027,1.9967576593907244e-10,0.0,0.03914080438935312,0.11445162316433774,1.3123511705169146e-05,266,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_K_HEAVY_G30,30.0,preferred,True,True,False,0.39886559182592707,0.019943279591296353,5.986343303010511e-09,0.0,0.009612300338675613,0.10908406260732031,7.94224206274025e-06,443,,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_K_HEAVY_G30,30.0,lower_quartile,True,True,False,0.39886558389929383,0.01994327919496469,5.986344866809514e-09,0.0,0.009612298131989189,0.10908406260732234,1.165603057548117e-05,727,,`ftol` termination condition is satisfied.,screen
