root_id,panel_id,source_class,source_scale,pump_capacity_scale,apical_pump_fraction,apical_k_fraction,ae4_cation_fraction,hydraulic_scale,hydraulic_mode,r2_member_id,r3_member_id,arm,solver_label,max_relative_state_difference,max_relative_flow_difference,max_relative_capacity_difference,r2_r3_isomorphism_gate_pass
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G125_P21_PROSE_TREFERENCE,R3_G125_P21_PROSE_TREFERENCE,CCH_IPR,production_radau,1.991247145199543e-15,5.586603558253232e-15,2.0235795023835065e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G125_P21_PROSE_TREFERENCE,R3_G125_P21_PROSE_TREFERENCE,CCH_IPR,production_bdf,4.196036704788348e-15,1.9012707144725477e-14,2.023579460965004e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G125_P21_PROSE_TSLOW,R3_G125_P21_PROSE_TSLOW,CCH_ONLY,production_radau,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G125_P21_PROSE_TSLOW,R3_G125_P21_PROSE_TSLOW,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G125_P21_PROSE_TSLOW,R3_G125_P21_PROSE_TSLOW,CCH_IPR,production_radau,1.886018207086744e-15,3.7469587052306675e-15,1.9015311127507532e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G125_P21_PROSE_TSLOW,R3_G125_P21_PROSE_TSLOW,CCH_IPR,production_bdf,2.0960051045930196e-15,1.7941286265471955e-14,1.9632384847556557e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TFAST,R3_G170_P21_FIGURE_VISUAL_TFAST,CCH_ONLY,production_radau,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TFAST,R3_G170_P21_FIGURE_VISUAL_TFAST,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TFAST,R3_G170_P21_FIGURE_VISUAL_TFAST,CCH_IPR,production_radau,1.6758763333083616e-14,3.9805802857169346e-15,6.733886500578676e-15,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TFAST,R3_G170_P21_FIGURE_VISUAL_TFAST,CCH_IPR,production_bdf,3.0413451065586405e-15,9.768263599425854e-15,5.258944802888358e-16,True
