root_id,law_id,family,fully_activated_multiplier,tau_activation_s,gain_provenance_status,tau_provenance_status,solver_success,positive_core,conservation_gate_pass,broad_dynamic_ion_gate_pass,WT_flow_shape_gate_pass,WT_flow_max_min_ratio,WT_flow_allowed_max_min_ratio,nkcc1_multiplier_60_s,nkcc1_multiplier_600_s,isolated_NKCC_fractional_Cl_rate_rest_s_inv,isolated_NKCC_fractional_Cl_rate_60_s_s_inv,isolated_NKCC_fractional_Cl_rate_600_s_s_inv,P15_CCh_total_SPQ_uptake_s_inv,P15_CCh_total_SPQ_SEM_s_inv,uptake_observation_map_status,cell_na_endpoint_mM,cell_k_endpoint_mM,cell_cl_endpoint_mM,cell_ph_endpoint,cell_volume_endpoint_pL,flow_60_s_pL_s,flow_600_s_pL_s,cumulative_flow_600_s_pL,source_centered_scale,source_disciplined_acceptance
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M6_T60,N2_CCH_EFFECTIVE_DYNAMIC,6.0,60.0,UNBOUNDED_FLOW_SHAPE_PROBE,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,True,1.0991810707724798,1.1111111111111112,4.160602761539721,5.999773000347393,0.0011650652738649696,0.004966990609313644,0.004237590460741773,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,35.11050325218181,89.57028592399875,46.6044125607445,6.8884356426777495,1.2460438332261272,0.0011610913006894403,0.0010563239593213258,0.6710134818202105,False,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M8_T60,N2_CCH_EFFECTIVE_DYNAMIC,8.0,60.0,UNBOUNDED_FLOW_SHAPE_PROBE,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,True,1.0909357389618972,1.1111111111111112,5.424843866007299,7.999682200486348,0.0011650652738649696,0.005703062628926291,0.004013972411526198,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,36.459219583994255,88.89661946058689,48.91964284062007,6.894460970950157,1.278007663719033,0.001178757312772219,0.0010805011428939805,0.68587158544918,False,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M1.75_T120,N2_CCH_EFFECTIVE_DYNAMIC,1.75,120.0,P15_CENTERED_CONTEXT_MISMATCH_SENSITIVITY,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.3303944744653202,1.1111111111111112,1.2951020013984078,1.7449465397085693,0.0011650652738649696,0.002135820890078499,0.006284351069760198,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,24.175646322053616,95.43023997360959,29.632266942297473,6.840432570283941,1.0514769499379673,0.001108668049464151,0.0008333378338103215,0.561983645699088,True,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M2_T120,N2_CCH_EFFECTIVE_DYNAMIC,2.0,120.0,P15_CENTERED_CONTEXT_MISMATCH_SENSITIVITY,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.275461188172957,1.1111111111111112,1.3934693351978429,1.9932620529447593,0.0011650652738649696,0.00227261526155758,0.005996492849501213,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,25.725491092423983,94.58488601634332,31.955555438585627,6.847034187150423,1.0745879636201683,0.0011106541256161063,0.0008707862974702274,0.575729623588195,True,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M3_T120,N2_CCH_EFFECTIVE_DYNAMIC,3.0,120.0,UNBOUNDED_FLOW_SHAPE_PROBE,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.163601266548431,1.1111111111111112,1.7869386703953025,2.9865241058895187,0.0011650652738649696,0.0027890681983623955,0.005205937456437775,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,29.94428398404696,92.29343842086082,38.38491385966205,6.864702789079021,1.143833737269891,0.0011183508023610235,0.000961111709407439,0.6132297260662896,False,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M4_T120,N2_CCH_EFFECTIVE_DYNAMIC,4.0,120.0,UNBOUNDED_FLOW_SHAPE_PROBE,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.117171180742571,1.1111111111111112,2.180408005592137,3.9797861588342776,0.0011650652738649696,0.003259851609234132,0.004758835936651128,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,32.371830297469785,90.99629053350883,42.19807320470224,6.874961340534852,1.1890774617669908,0.0011256718872186822,0.0010076091351286566,0.6358285354882673,False,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M6_T120,N2_CCH_EFFECTIVE_DYNAMIC,6.0,120.0,UNBOUNDED_FLOW_SHAPE_PROBE,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,True,1.079675061704791,1.1111111111111112,2.9673466759831095,5.966310264723796,0.0011650652738649696,0.004080957037783013,0.00428848683659152,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,35.010416744275055,89.61885732748941,46.48442792559817,6.886436391171325,1.244239261757509,0.0011392872543933591,0.0010552130866062993,0.662333658294722,False,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M8_T120,N2_CCH_EFFECTIVE_DYNAMIC,8.0,120.0,UNBOUNDED_FLOW_SHAPE_PROBE,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,True,1.0667366989123055,1.1111111111111112,3.754285346369437,7.9528343706133136,0.0011650652738649696,0.0047648589366491734,0.004049193885181831,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,36.405513608883524,88.91099916967472,48.83368554648666,6.8927317552024245,1.2766240786985603,0.0011516795892253656,0.0010796287316257815,0.677696232037153,False,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M1.75_T240,N2_CCH_EFFECTIVE_DYNAMIC,1.75,240.0,P15_CENTERED_CONTEXT_MISMATCH_SENSITIVITY,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.353962314830694,1.1111111111111112,1.1658994102605988,1.6884362507755593,0.0011650652738649696,0.0019525242677689628,0.006565483708935014,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,23.420718104961075,95.86256079020296,28.63318047621744,6.835951689934937,1.0416545395093666,0.0011058842397723534,0.0008167762334734097,0.5508282597477344,True,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M2_T240,N2_CCH_EFFECTIVE_DYNAMIC,2.0,240.0,P15_CENTERED_CONTEXT_MISMATCH_SENSITIVITY,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.2967732960408622,1.1111111111111112,1.221199213680798,1.9179150010340786,0.0011650652738649696,0.002032723186672451,0.006311710815598698,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,24.866702718840823,95.08125466443141,30.827431141890266,6.841985282904466,1.063045386828873,0.0011069789151232968,0.0008536410477474971,0.5629457660161626,True,False
