calcium_uM,candidate_id,capacities_refitted_after_freeze,condition,max_dimensionless_conservation_ratio,maximum_flow_pL_s,mean_0_600_pL_s,message,minimum_flow_pL_s,numerical_gate_pass,root_id,routing_family,solver_success,source,source_path,source_sha256,status,target_share,total_0_600_pL
0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.30,False,share_0.30,0.006270539643082884,0.001584735829414305,0.0014241082272798064,The solver successfully reached the end of the integration interval.,0.0011833686971691626,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.8544649363678838
0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.30,False,share_0.30,0.006135536523288465,0.002239486960689263,0.001618197798069252,The solver successfully reached the end of the integration interval.,0.0011833686971691626,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.9709186788415513
0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.30,False,share_0.30,0.0063806737671257,0.0025689275472148307,0.0016791738405198332,The solver successfully reached the end of the integration interval.,0.0011833686971691626,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,1.0075043043118999
0.1,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__inherited_baseline,False,inherited_baseline,0.00020961010704922955,0.0013200302369921148,0.001198952144641868,The solver successfully reached the end of the integration interval.,0.0009699389679239973,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00_ca0.10_WT_production_radau.json,8d5ba95fd69a8e9f42d43693dfe8fae29d246e291a640125b0d6fbe4d04210f1,COMPLETE,,0.7193712867851209
0.25,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__inherited_baseline,False,inherited_baseline,0.0014601653219870059,0.0017994253953253214,0.0013668116848169053,The solver successfully reached the end of the integration interval.,0.0009699389679239973,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00_ca0.25_WT_production_radau.json,26e68f6d9da98f211525901d5d163909924b18f48eca96ad71bba129280fdcb1,COMPLETE,,0.8200870108901432
0.5,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__inherited_baseline,False,inherited_baseline,0.0023590018827235326,0.0020122343106835777,0.0014125836966060463,The solver successfully reached the end of the integration interval.,0.0009699389679239973,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00_ca0.50_WT_production_radau.json,cc2dc4369b93adf0f493d07f7a77de57e55e262dee6dd9e23861f8d95fc5d524,COMPLETE,,0.8475502179636278
0.1,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.10,False,share_0.10,0.0002877698079828406,0.0012803706127567733,0.0011478917093285539,The solver successfully reached the end of the integration interval.,0.0009699389679239973,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.6887350255971323
0.25,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.10,False,share_0.10,0.0014050982599655981,0.0017587721332106565,0.0012999487332471704,The solver successfully reached the end of the integration interval.,0.0009699389679239973,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.7799692399483023
0.5,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.10,False,share_0.10,0.0022861712523081223,0.0019826632920221356,0.0013477344641105334,The solver successfully reached the end of the integration interval.,0.0009699389679239973,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.80864067846632
0.1,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.30,False,share_0.30,0.001935257509799726,0.0014000258613237422,0.0011287127867098009,The solver successfully reached the end of the integration interval.,0.0009699389679239973,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.6772276720258805
