pathway,positive_basolateral_loader,positive_loading_denominator_fmol_s,root_id,routing_family,signed_cl_fmol_s
NKCC1,True,0.24129117111575887,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,0.23689675870629107
AE2,False,0.24129117111575887,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,-0.0018594864525171612
CaCC_cell_source,False,0.24129117111575887,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,-0.23943168466318143
CaCC_cell_to_lumen,False,0.24129117111575887,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,0.23943168466318143
paracellular_Cl_lumen_to_bath,False,0.24129117111575887,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,0.09526810830398745
lumen_outflow_Cl,False,0.24129117111575887,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,0.1441635763591861
AE4,True,0.27627621564657545,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,0.0038066772351557643
NKCC1,True,0.27627621564657545,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,0.2724695384114197
AE2,False,0.27627621564657545,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,-0.0008003304972374787
CaCC_cell_source,False,0.27627621564657545,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,-0.27547588514947446
CaCC_cell_to_lumen,False,0.27627621564657545,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,0.27547588514947446
paracellular_Cl_lumen_to_bath,False,0.27627621564657545,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,0.10520593615124224
lumen_outflow_Cl,False,0.27627621564657545,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,0.17026994899825063
