G2,G4,min_state_ratio,Q_star,Na_i,K_i,Cl_i,HCO3_i,volume_star,Na_i_mM,K_i_mM,Cl_i_mM,HCO3_i_mM
0.05,0.07500000000000001,0.9126851365175738,0.9559857828078292,0.9980051416331059,1.0362285590145957,0.9126851365175738,1.1368281718075737,1.0209367522432122,24.95012854082765,124.34742708175148,45.63425682587869,13.75562087887164
0.05,0.1,0.9137202652559556,0.9563704414688521,0.9979668435142638,1.0352436210704192,0.9137202652559556,1.134452093312148,1.0203457057881966,24.949171087856595,124.2292345284503,45.68601326279778,13.726870329076991
0.05,0.125,0.9147553939943375,0.956755100129875,0.9979285453954215,1.0342586831262428,0.9147553939943375,1.1320760148167226,1.0197546593331812,24.948213634885537,124.11104197514913,45.73776969971687,13.698119779282344
0.05,0.15000000000000002,0.9157905227327192,0.9571397587908977,0.9978902472765793,1.0332737451820662,0.9157905227327192,1.129699936321297,1.0191636128781654,24.947256181914483,123.99284942184794,45.78952613663596,13.669369229487693
0.05,0.17500000000000002,0.9168256514711011,0.9575244174519205,0.997851949157737,1.0322888072378897,0.9168256514711011,1.1273238578258713,1.0185725664231498,24.946298728943425,123.87465686854677,45.841282573555056,13.640618679693043
0.05,0.2,0.9178607802094829,0.9579090761129434,0.9978136510388949,1.0313038692937133,0.9178607802094829,1.1249477793304457,1.0179815199681341,24.94534127597237,123.7564643152456,45.89303901047415,13.611868129898392
0.05,0.225,0.9188959089478647,0.9582937347739663,0.9977753529200526,1.030318931349537,0.9188959089478647,1.1225717008350202,1.0173904735131185,24.944383823001314,123.63827176194442,45.94479544739323,13.583117580103744
0.05,0.25,0.9199310376862465,0.9586783934349891,0.9977370548012103,1.0293339934053602,0.9199310376862465,1.1201956223395946,1.016799427058103,24.94342637003026,123.52007920864322,45.996551884312325,13.554367030309095
0.05,0.275,0.9209661664246284,0.959063052096012,0.9976987566823681,1.0283490554611838,0.9209661664246284,1.117819543844169,1.0162083806030873,24.9424689170592,123.40188665534205,46.04830832123142,13.525616480514444
0.05,0.30000000000000004,0.9220012951630101,0.9594477107570347,0.9976604585635259,1.0273641175170074,0.9220012951630101,1.1154434653487433,1.0156173341480716,24.941511464088148,123.28369410204088,46.1000647581505,13.496865930719792
0.05,0.325,0.923036423901392,0.9598323694180576,0.9976221604446837,1.0263791795728308,0.923036423901392,1.1130673868533179,1.015026287693056,24.94055401111709,123.16550154873968,46.1518211950696,13.468115380925145
0.05,0.35000000000000003,0.9240715526397738,0.9602170280790805,0.9975838623258414,1.0253942416286543,0.9240715526397738,1.1106913083578922,1.0144352412380404,24.939596558146036,123.04730899543853,46.20357763198869,13.439364831130495
0.05,0.375,0.9251066813781555,0.9606016867401033,0.9975455642069991,1.024409303684478,0.9251066813781555,1.1083152298624666,1.0138441947830248,24.93863910517498,122.92911644213734,46.25533406890778,13.410614281335844
0.05,0.4,0.9261418101165374,0.9609863454011262,0.9975072660881569,1.0234243657403015,0.9261418101165374,1.105939151367041,1.0132531483280092,24.93768165220392,122.81092388883619,46.30709050582687,13.381863731541195
0.05,0.42500000000000004,0.9271769388549193,0.961371004062149,0.9974689679693147,1.0224394277961248,0.9271769388549193,1.1035630728716155,1.0126621018729935,24.936724199232867,122.69273133553499,46.35884694274596,13.353113181746547
0.05,0.45,0.928212067593301,0.9617556627231718,0.9974306698504725,1.0214544898519484,0.928212067593301,1.1011869943761898,1.012071055417978,24.935766746261812,122.57453878223382,46.41060337966505,13.324362631951896
0.05,0.47500000000000003,0.9292471963316828,0.9621403213841946,0.9973923717316302,1.020469551907772,0.9292471963316828,1.0988109158807642,1.0114800089629623,24.934809293290755,122.45634622893265,46.46235981658414,13.295612082157247
0.05,0.5,0.9302823250700647,0.9625249800452175,0.9973540736127879,1.0194846139635954,0.9302823250700647,1.0964348373853388,1.0108889625079467,24.933851840319697,122.33815367563145,46.51411625350323,13.266861532362599
0.05,0.525,0.9313174538084464,0.9629096387062402,0.9973157754939458,1.018499676019419,0.9313174538084464,1.094058758889913,1.010297916052931,24.932894387348643,122.21996112233028,46.565872690422324,13.238110982567948
0.05,0.55,0.9323525825468283,0.9632942973672631,0.9972774773751035,1.0175147380752425,0.9323525825468283,1.0916826803944875,1.0097068695979154,24.93193693437759,122.1017685690291,46.61762912734142,13.209360432773298
0.05,0.5750000000000001,0.9333877112852101,0.963678956028286,0.9972391792562613,1.016529800131066,0.9333877112852101,1.0893066018990618,1.0091158231428998,24.93097948140653,121.98357601572793,46.66938556426051,13.180609882978647
0.05,0.6000000000000001,0.9344228400235919,0.9640636146893088,0.997200881137419,1.0155448621868894,0.9344228400235919,1.0869305234036364,1.0085247766878842,24.930022028435474,121.86538346242673,46.721142001179594,13.151859333184
0.05,0.625,0.9354579687619737,0.9644482733503317,0.9971625830185767,1.014559924242713,0.9354579687619737,1.0845544449082107,1.0079337302328686,24.92906457546442,121.74719090912556,46.772898438098686,13.12310878338935
0.05,0.65,0.9364930975003556,0.9648329320113546,0.9971242848997346,1.0135749862985366,0.9364930975003556,1.082178366412785,1.007342683777853,24.928107122493365,121.6289983558244,46.82465487501778,13.094358233594699
0.05,0.675,0.9375282262387373,0.9652175906723773,0.9970859867808923,1.01259004835436,0.9375282262387373,1.0798022879173594,1.0067516373228373,24.927149669522308,121.5108058025232,46.87641131193686,13.06560768380005
0.05,0.7000000000000001,0.9385633549771192,0.9656022493334002,0.9970476886620501,1.0116051104101835,0.9385633549771192,1.077426209421934,1.0061605908678217,24.92619221655125,121.39261324922202,46.92816774885596,13.036857134005402
0.05,0.7250000000000001,0.939598483715501,0.965986907994423,0.9970093905432078,1.010620172466007,0.939598483715501,1.0750501309265084,1.005569544412806,24.925234763580196,121.27442069592085,46.979924185775054,13.00810658421075
0.05,0.75,0.9406336124538828,0.9663715666554459,0.9969710924243657,1.0096352345218307,0.9406336124538828,1.0726740524310827,1.0049784979577905,24.924277310609142,121.15622814261968,47.03168062269414,12.979356034416101
0.05,0.775,0.9416687411922646,0.9667562253164687,0.9969327943055234,1.008650296577654,0.9416687411922646,1.070297973935657,1.0043874515027749,24.923319857638084,121.03803558931848,47.08343705961323,12.95060548462145
0.05,0.8,0.9427038699306465,0.9671408839774915,0.9968944961866811,1.0076653586334776,0.9427038699306465,1.0679218954402316,1.0037964050477592,24.922362404667027,120.91984303601731,47.135193496532324,12.921854934826802
0.05,0.8250000000000001,0.9437389986690282,0.9675255426385143,0.9968561980678389,1.0066804206893012,0.9437389986690282,1.065545816944806,1.0032053585927436,24.921404951695973,120.80165048271614,47.18694993345141,12.893104385032153
0.05,0.8500000000000001,0.9447741274074101,0.9679102012995372,0.9968178999489967,1.0056954827451245,0.9447741274074101,1.0631697384493803,1.002614312137728,24.92044749872492,120.68345792941494,47.2387063703705,12.864353835237502
0.05,0.875,0.9458092561457918,0.96829485996056,0.9967796018301545,1.0047105448009481,0.9458092561457918,1.060793659953955,1.0020232656827124,24.91949004575386,120.56526537611377,47.29046280728959,12.835603285442854
0.05,0.9,0.9468443848841737,0.9686795186215829,0.9967413037113122,1.0037256068567717,0.9468443848841737,1.0584175814585293,1.0014322192276968,24.918532592782803,120.4470728228126,47.342219244208685,12.806852735648203
0.05,0.925,0.9478795136225555,0.9690641772826057,0.9967030055924699,1.0027406689125953,0.9478795136225555,1.0560415029631036,1.0008411727726811,24.91757513981175,120.32888026951143,47.39397568112778,12.778102185853554
0.05,0.9500000000000001,0.9489146423609373,0.9694488359436285,0.9966647074736277,1.0017557309684186,0.9489146423609373,1.053665424467678,1.0002501263176653,24.91661768684069,120.21068771621023,47.44573211804686,12.749351636058902
0.05,0.9750000000000001,0.9499497710993191,0.9698334946046514,0.9966264093547855,1.0007707930242422,0.9499497710993191,1.0512893459722525,0.9996590798626499,24.915660233869637,120.09249516290906,47.497488554965955,12.720601086264255
