AE4_minus_AE2_reduction,D_AE2,D_AE4_5pct,R_AE2,R_AE4_5pct,ae2_expression_for_loss,ae2_reuse_scope,ae2_source_path,ae2_source_sha256,ae4_5pct_source_path,ae4_5pct_source_sha256,ae4_5pct_total_0_600_pL,ae4_capacity_multiplier,ae4_expression,calcium_uM,candidate_id,condition,exclusion_reason,fixed_wt_feasible,genotype_numerical_status,new_genotype_simulation,paired_numerical_gate_pass,rho,root_id,routing_family,status,target_share,wt_source_path,wt_source_sha256,wt_status,wt_total_0_600_pL
-0.19049063991467263,-0.00148881518450672,-0.19197945509917935,1.0014888151845067,1.1919794550991794,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,01cd368c42eda486e95cf9ce74c6c84e5d7c303090305a30706874f6972a2b8a,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.50_AE4_5pct_production_radau.json,b076af6a24984f47228b0fbf7edd9814facd990d888331778e85135f3963472a,1.034394957049368,1.0,0.05,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,inherited_baseline,,True,COMPLETE,False,True,1.0,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.50_WT_production_radau.json,e6ebb85c96b47551ceedd7210dfeee76db4ecc4b800eab8afec5aed7c6ebf2fd,FIXED_WT_FEASIBLE,0.8677959612678899
,,,,,,,,,,,,5.58673851209262,,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.10,share_0.10,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,0.9164031873947779,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.1,,,INFEASIBLE_NATIVE_K_SOURCE_BOUND,
,,,,,,,,,,,,5.58673851209262,,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.10,share_0.10,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,0.9164031873947779,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.1,,,INFEASIBLE_NATIVE_K_SOURCE_BOUND,
,,,,,,,,,,,,5.58673851209262,,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.10,share_0.10,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,0.9164031873947779,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.1,,,INFEASIBLE_NATIVE_K_SOURCE_BOUND,
,,,,,,,,,,,,16.760215536277858,,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.30,share_0.30,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,0.7127580346403827,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.3,,,INFEASIBLE_NEGATIVE_REQUIRED_K_FLUX,
,,,,,,,,,,,,16.760215536277858,,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.30,share_0.30,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,0.7127580346403827,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.3,,,INFEASIBLE_NEGATIVE_REQUIRED_K_FLUX,
,,,,,,,,,,,,16.760215536277858,,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.30,share_0.30,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,0.7127580346403827,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.3,,,INFEASIBLE_NEGATIVE_REQUIRED_K_FLUX,
-0.0819689669745054,-0.0003179501472343471,-0.08228691712173974,1.0003179501472343,1.0822869171217397,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,01cd368c42eda486e95cf9ce74c6c84e5d7c303090305a30706874f6972a2b8a,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00_ca0.10_AE4_5pct_production_radau.json,5bfc461d87ba94d5b14a21d7e707dfe707404cc772fe1d3a3df1c05e75b08bbf,0.9609500186890377,1.0,0.05,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__inherited_baseline,inherited_baseline,,True,COMPLETE,False,True,1.0,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00_ca0.10_WT_production_radau.json,b512d6165c01fe00c4a4cb2c7c24f32f8ada9019a35c071157b9fad1059141a6,FIXED_WT_FEASIBLE,0.8878884180219158
-0.14503685344485873,-0.000392643527121983,-0.1454294969719807,1.000392643527122,1.1454294969719807,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,01cd368c42eda486e95cf9ce74c6c84e5d7c303090305a30706874f6972a2b8a,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00_ca0.25_AE4_5pct_production_radau.json,517002a60de5171b4883946a9d432ede67422bfe26ba304917fe1463a6e76194,1.1715851322063742,1.0,0.05,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__inherited_baseline,inherited_baseline,,True,COMPLETE,False,True,1.0,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00_ca0.25_WT_production_radau.json,2153a81fec3b635587cff81ba0e91b79ec5995df2689eb3dce1b1cf0673f563f,FIXED_WT_FEASIBLE,1.0228347840731686
-0.1665518503968273,-0.00041646420393726125,-0.16696831460076456,1.0004164642039373,1.1669683146007646,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,01cd368c42eda486e95cf9ce74c6c84e5d7c303090305a30706874f6972a2b8a,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00_ca0.50_AE4_5pct_production_radau.json,1fbbf9a1a17ed796bfbfa71796d41fbe0e09d71477bacbd3e6ac72eb27ff8441,1.2421550665997492,1.0,0.05,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__inherited_baseline,inherited_baseline,,True,COMPLETE,False,True,1.0,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00_ca0.50_WT_production_radau.json,a36ec3c2470adf2f917e7f46c5443be6da99d8508fca76f2222bee8893655e49,FIXED_WT_FEASIBLE,1.0644291289302974
