alk_i_fmol,alk_l_fmol,apical_current_fmol_charge_s,basolateral_current_fmol_charge_s,cl_i_fmol,cl_l_fmol,include_in_rhs_sum,k_i_fmol,k_l_fmol,na_i_fmol,na_l_fmol,pathway,root_id,tic_i_fmol,tic_l_fmol,volume_i_pL,volume_l_pL
0.0,0.0,0.011293147408661424,0.0,0.0,0.0,True,0.022586294817322848,-0.022586294817322848,-0.03387944222598427,0.03387944222598427,pump_apical,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.09963574566225655,0.0,0.0,True,0.1992714913245131,0.0,-0.2989072369867697,0.0,pump_basolateral,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.051261508332632336,0.0,0.0,0.0,True,-0.051261508332632336,0.051261508332632336,0.0,0.0,K_apical,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1146454658031276,0.0,0.0,True,-0.1146454658031276,0.0,0.0,0.0,K_basolateral,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,-0.2768358672066779,0.0,-0.2768358672066779,0.2768358672066779,True,0.0,0.0,0.0,0.0,CaCC,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.12004271787760544,-0.12004271787760544,0.0,0.0,True,0.0,0.0,0.0,0.12004271787760544,paracellular_Na,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,-0.0022333551374425476,0.0022333551374425476,0.0,0.0,True,0.0,-0.0022333551374425476,0.0,0.0,paracellular_K,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.10169084488779788,-0.10169084488779788,0.0,-0.10169084488779788,True,0.0,0.0,0.0,0.0,paracellular_Cl,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,0.0,0.0,0.0,0.0
0.0,0.005218996162576598,-0.005218996162576598,0.005218996162576598,0.0,0.0,True,0.0,0.0,0.0,0.0,paracellular_HCO3,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,0.0,0.005218996162576598,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,CO2_basolateral,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,0.007676353816752459,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,CO2_apical,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,-0.0008636180897282698,0.0008636180897282698,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,water,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,0.0,0.0,-1.2984405217686401e-15,-1.7932703932910243e-16
0.0,-0.005218996162576809,0.0,0.0,0.0,-0.17514502231888,True,0.0,-0.026441858377867063,0.0,-0.15392216010358975,lumen_outflow,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,0.0,-0.006082614252304868,0.0,0.0
0.13274036340481568,0.0,0.0,0.0,-0.06637018170240784,0.0,True,0.0,0.0,0.06637018170240784,0.0,AE4_Na_branch,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,0.13274036340481568,0.0,0.0,0.0
-0.1415110810417285,0.0,0.0,0.0,0.07075554052086425,0.0,True,-0.07075554052086425,0.0,0.0,0.0,AE4_K_branch,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,-0.1415110810417285,0.0,0.0,0.0
-0.008770717636912811,0.0,0.0,0.0,0.004385358818456406,0.0,False,-0.07075554052086425,0.0,0.06637018170240784,0.0,AE4_total,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,-0.008770717636912811,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.2406131711856975,0.0,True,0.12030658559284875,0.0,0.12030658559284875,0.0,NKCC1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
