cohort,coordinate,residual,required_source,working_SE,unknown_correlation_SE_upper_bound
AE4_KO,charge_i,1.5439038936193583e-16,-1.5439038936193583e-16,2.783873943496075e-13,3.778227730677486e-13
AE4_KO,charge_l,-1.1622647289044608e-16,1.1622647289044608e-16,4.325621253157454e-13,5.054984208996416e-13
AE4_KO,current_a_minus_para,-1.339550456754033e-16,1.339550456754033e-16,4.4271078643466103e-13,5.157269258503027e-13
AE4_KO,current_b_plus_para,-1.0046628425655247e-16,1.0046628425655247e-16,2.0795415305104517e-13,2.545145867832663e-13
AE2_control,Na_i,0.06212287557834201,-0.06212287557834201,0.02611034538443082,0.029097097305022523
AE2_control,K_i,0.07782170816016115,-0.07782170816016115,0.03278049424504395,0.035547186131429376
AE2_control,Cl_i,0.13475845208036258,-0.13475845208036258,0.06182763454951251,0.06536107385872458
AE2_control,TIC_i,0.005186131658141048,-0.005186131658141048,0.01021524248505546,0.012868862206754164
AE2_control,TA_i,0.005186131658141049,-0.005186131658141049,0.01021524248507597,0.012868862206824247
AE2_control,V_i,5.922996468288311e-16,-5.922996468288311e-16,0.0,0.0
AE2_control,Na_l,-0.0036243818504211323,0.0036243818504211323,0.0014963628516049233,0.0015395737350931693
AE2_control,K_l,-0.00907518379661681,0.00907518379661681,0.0037467817868461644,0.0038549786397163235
AE2_control,Cl_l,-0.013303629288867108,0.013303629288867108,0.005492538447003252,0.005651147997215444
AE2_control,TIC_l,0.0003956920030949388,-0.0003956920030949388,0.0002930378716247624,0.00040332350831314215
AE2_control,TA_l,0.0006040636418290415,-0.0006040636418290415,0.0002493938086023854,0.00025659562251723403
AE2_control,V_l,-1.9802432263404945e-13,1.9802432263404945e-13,0.0,0.0
AE2_control,charge_i,-4.683753385137379e-16,4.683753385137379e-16,3.9457977628680757e-13,5.495603971894525e-13
AE2_control,charge_l,1.249000902703301e-16,-1.249000902703301e-16,7.935241258892214e-14,1.1128251098391216e-13
AE2_control,current_a_minus_para,2.0093256851310495e-16,-2.0093256851310495e-16,1.232277212892146e-13,1.7414155937802427e-13
AE2_control,current_b_plus_para,2.3442132993195575e-16,-2.3442132993195575e-16,2.954991834624384e-13,3.884696324586695e-13
AE2_KO,Na_i,0.021765928490437902,-0.021765928490437902,0.028540133783499455,0.03922850235920927
AE2_KO,K_i,0.03540945923526097,-0.03540945923526097,0.03397663919279139,0.04496628599488239
AE2_KO,Cl_i,0.12758584421652192,-0.12758584421652192,0.06091102508421583,0.07529295001766356
AE2_KO,TIC_i,-0.07041045649082295,0.07041045649082295,0.045718633033504055,0.0488585624499438
AE2_KO,TA_i,-0.07041045649082306,0.07041045649082306,0.04571863303353866,0.04885856244997849
AE2_KO,V_i,1.3709736471079204e-15,-1.3709736471079204e-15,2.8557234701964695e-12,2.8557234701964695e-12
AE2_KO,Na_l,-0.002382439881332382,0.002382439881332382,0.0014803885153858625,0.001690065459430956
AE2_KO,K_l,-0.0059654530618503745,0.0059654530618503745,0.00370678323148503,0.0042317987742165886
AE2_KO,Cl_l,-0.008744966256795689,0.008744966256795689,0.005433903165632855,0.006203541809246538
AE2_KO,TIC_l,0.0013681392869529857,-0.0013681392869529857,0.000635476273162891,0.0008306535209901163
AE2_KO,TA_l,0.0003970733136127169,-0.0003970733136127169,0.0002467314192261518,0.0002816775765559533
AE2_KO,V_l,-1.5243795808972394e-13,1.5243795808972394e-13,2.2111219105669377e-13,2.2111219105669377e-13
AE2_KO,charge_i,1.3877787807814457e-17,-1.3877787807814457e-17,5.110362280590815e-13,6.925016116099414e-13
AE2_KO,charge_l,2.1510571102112408e-16,-2.1510571102112408e-16,6.908098682521203e-13,9.569602055226056e-13
AE2_KO,current_a_minus_para,2.0093256851310495e-16,-2.0093256851310495e-16,6.370703261728041e-13,8.94149929883317e-13
AE2_KO,current_b_plus_para,-1.6744380709425412e-16,1.6744380709425412e-16,3.402695473810517e-13,3.951673847424397e-13
