admissible_state,ae4_expression,calcium_uM,converged_root,cost,max_abs_amount_rhs_fmol_s,max_abs_current_residual_A,max_abs_scaled_independent_rhs,max_abs_volume_rhs_pL_s,max_dimensionless_conservation_ratio,message,nfev,optimality,optimizer_success,rest_gate_pass,root_alias,root_id,seed_core_sha256,seed_id,seed_source_path,solution_core_sha256
True,1.0,0.5,True,1.9523952103519938e-23,3.021888295151598e-15,1.2924697071141057e-26,5.650861722994449e-12,5.650861722994449e-16,1.7763568394002503e-06,`xtol` termination condition is satisfied.,411,5.372427446799944e-07,True,True,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,195fe83a7dd68d6b6e42e5d4ac033716c4e3be60cdc034b1b18e981b02d10710,inherited_saved_rest,inherited,70c23ac407d2b9bf34c65145786e6d53560b24ec9a1b53686facea6f843323cf
True,1.0,0.5,True,4.1249922696277534e-22,2.2536313093457494e-13,9.693522803355793e-27,2.8534032775473506e-11,2.8534032775473506e-15,1.3877787807814457e-06,`xtol` termination condition is satisfied.,283,2.1707386580978366e-06,True,True,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,ca7c9eff9b16a6ce286637d2eae78cabc1c456e271775b8d75c1ec424fd229e9,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.50_routing_only_e1.00_production_radau.npz,130afe26cf3c7b926e78271888779bf485d4347d1374ab2fffbadefe9eb4db9b
True,0.05,0.5,True,3.340315721558239e-23,2.498001805406602e-16,9.693522803355793e-27,8.116337463226486e-12,8.116337463226486e-16,0.00013500311979441904,`xtol` termination condition is satisfied.,169,6.275088303136353e-07,True,True,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,df90d2d5780a45154aeeed08b595adb4554aeebd6489000b68ff6dbfd53f9c99,inherited_saved_rest,inherited,502ac3834ee7d41431d453678dd43cdf8edc52acab7e7de6bcec1fdb04fa719d
True,0.05,0.5,True,5.685169406184242e-23,4.930431063421281e-14,9.693522803355793e-27,1.0570971181733668e-11,1.0570971181733668e-15,0.00013500311979441904,`xtol` termination condition is satisfied.,462,8.325770942275017e-07,True,True,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,0f7dc79202d3a804e5c824f331f9abae4c315d7b72cdadad743b304e1eed5d7f,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.50_routing_only_e0.05_production_radau.npz,8dd73eb317a0137bc7fe673745b71ed070c5a4b6a411b9093450f1a73473df3e
True,1.0,0.1,True,3.754402011313824e-24,4.631711680858075e-16,1.6155871338926322e-26,2.738694687698384e-12,2.738694687698384e-16,1.6155871338926322e-06,`xtol` termination condition is satisfied.,193,3.6951441684530844e-08,True,True,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,ad9a3125472395044b8d7022c0c00a674ccf394ad7a82f06410ffa0ac36ce14f,inherited_saved_rest,inherited,e3cd5dd78410e9615afa1e1c93c22a33131d4dc2e6b3525c787e4ddc8c5e067e
True,1.0,0.1,True,3.3071273946018677e-24,2.7325364193586665e-14,3.2311742677852644e-27,2.5478751053409354e-12,2.5478751053409354e-16,8.881784197001251e-07,`xtol` termination condition is satisfied.,122,2.6683634308388426e-07,True,True,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,e333c01707f7a0a36921ffa91db8f76c27fb798789a9befa2b2feccf6ae0bad8,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00_ca0.10_routing_only_e1.00_production_radau.npz,cd654899393c3b4a8e9f01428070c71e199a4207e0dac68e99e9d260225b1048
True,0.05,0.1,True,7.117410652521979e-23,7.216449660063518e-16,4.52364397489937e-26,1.1926223897340549e-11,1.1926223897340549e-15,4.796510411075872e-06,`xtol` termination condition is satisfied.,99,7.831550480623194e-07,True,True,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,d7d55be78a4d2a20cd151e48738eb06599fa1f031dc12d97830b717654003938,inherited_saved_rest,inherited,b5f6976a19bcbc9779ab0c2f031d8aaf5720a573500f730f91637b542fbbbe87
True,0.05,0.1,True,7.11652662114368e-23,2.114627917215728e-15,1.6155871338926322e-26,1.1926223897340549e-11,1.1926223897340549e-15,2.723515857283587e-06,`xtol` termination condition is satisfied.,262,7.830119302991963e-07,True,True,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,7114ba75ddda9d89052afe9273642a4ce2a7345d9afdc5e4190d5c6e8b74da60,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00_ca0.10_routing_only_e0.05_production_radau.npz,b2f06f499501733885fb7bd000329f0d014d81e014d8e8924836c5ca22371c2a
True,1.0,0.25,True,3.754402011313824e-24,4.631711680858075e-16,1.6155871338926322e-26,2.738694687698384e-12,2.738694687698384e-16,1.6155871338926322e-06,`xtol` termination condition is satisfied.,193,3.6951441684530844e-08,True,True,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,ad9a3125472395044b8d7022c0c00a674ccf394ad7a82f06410ffa0ac36ce14f,inherited_saved_rest,inherited,e3cd5dd78410e9615afa1e1c93c22a33131d4dc2e6b3525c787e4ddc8c5e067e
True,1.0,0.25,True,1.555728501681306e-23,3.885780586188048e-16,2.261821987449685e-26,5.0025088238481175e-12,5.002508823848117e-16,2.732189474663471e-06,`xtol` termination condition is satisfied.,164,5.447687118457144e-07,True,True,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,9b1f19da48390b4bf5a46ea62ea2e87e577a61bed0c0d37caf48821f4617c479,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00_ca0.25_routing_only_e1.00_production_radau.npz,fa8371bd81992d7a3bd26e1ad22a7e6f25b9f9885aef5acaf3dc392e55b450be
