time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,cumulative_outflow_0_t_pL
541.0,0.0015560225604123901,17.488904003679327,113.42490032429498,51.77570140815855,16.675012995475996,15.47245559895377,7.214062387302062,1.519251804327009,301.52865444157464,-0.030275667139347862,-0.07858663099593212,-0.04831096385658426,1.0,0.0019789923841324,1.9094373744596525e-13,2.3,0.001687203810781126,0.36587749673955594,0.0,0.0011323466192469703,0.3653606335762374,0.13595646783645704,0.18293874836977797,1.75,5317689.585348719,0.0039579847682648,0.062242028297126446,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0011323466192469703,0.862410161571568
542.0,0.0015560345506914126,17.488475543158376,113.42677786547588,51.7757585039894,16.675531252483566,15.473348478431948,7.214226222149689,1.5192820166372412,301.5286566818885,-0.030275690609239948,-0.0785869070770052,-0.04831121646776526,1.0,0.0019731367495886476,1.9037875460223795e-13,2.3,0.0016849024200248882,0.3658837721894308,0.0,0.0011324808688155852,0.3653634544552317,0.1359572133053392,0.1829418860947154,1.75,5317659.057868295,0.003946273499177295,0.062241308055355465,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0011324808688155852,0.86396619012712
543.0,0.0015560466007171537,17.488045641360813,113.42865294168466,51.775819166902686,16.676047364640606,15.474237988634247,7.214389552614909,1.5193121930572593,301.5286589361708,-0.030275712248160204,-0.07858718293553399,-0.048311470687373785,1.0,0.0019673119597153244,1.8981674781678113e-13,2.3,0.0016826111686858468,0.3658900118479818,0.0,0.001132614428964744,0.3653662869868257,0.13595796277749303,0.1829450059239909,1.75,5317628.704802783,0.003934623919430649,0.062240585336551954,0.0,0.0,-0.0,-0.0,0.0,0.0,0.001132614428964744,0.8655222307028242
544.0,0.0015560587097642549,17.48761431785781,113.43052554613934,51.77588336375013,16.676561355317908,15.475124156667073,7.214552380454264,1.5193423336280658,301.5286612042451,-0.030275732072129163,-0.07858745856782795,-0.04831172649569879,1.0,0.0019615177513045727,1.8925769169389726e-13,2.3,0.001680330000250876,0.3658962159624566,0.0,0.0011327473054838118,0.3653691310189958,0.13595871620149544,0.1829481079812283,1.75,5317598.524944218,0.003923035502609145,0.062239860173070774,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0011327473054838118,0.8670782833580649
545.0,0.001556070877113955,17.487181592041228,113.43239567218248,51.775951061668835,16.677073247606234,15.476007009353074,7.214714707417278,1.519372438389928,301.52866348593625,-0.030275750097033288,-0.07858773397024951,-0.048311983873216224,1.0,0.001955753863802895,1.8870156109399558e-13,2.3,0.0016780588585949467,0.36590238477799075,0.0,0.001132879504103894,0.36537198640114193,0.1359594735264181,0.18295119238899538,1.75,5317568.517094989,0.00391150772760579,0.062239132596973334,0.0,0.0,-0.0,-0.0,0.0,0.0,0.001132879504103894,0.868634348151504
546.0,0.0015560831020544315,17.486747483114105,113.43426331328739,51.77602222809623,16.67758306430214,15.47688657321675,7.214876535245966,1.5194025073823478,301.528665781071,-0.030275766338617834,-0.07858800913921682,-0.04831224280059898,1.0,0.0019500200394431957,1.8814833114633225e-13,2.3,0.0016757976879859993,0.3659085185375123,0.0,0.0011330110304949756,0.3653748529841516,0.13596023470185356,0.18295425926875614,1.75,5317538.680068299,0.0039000400788863914,0.06223840264001155,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0011330110304949756,0.8701904251410881
547.0,0.0015560953838803238,17.48631201010366,113.43612846304903,51.77609683074954,16.67809082792879,15.477762874505213,7.215037865675395,1.5194325406441158,301.52866808947795,-0.030275780812496576,-0.07858828407119972,-0.04831250325870315,1.0,0.001944316023054421,1.875979772306434e-13,2.3,0.0016735464330736613,0.3659146174818811,0.0,0.0011331418902700715,0.36537773062031026,0.13596099967787917,0.18295730874094054,1.75,5317509.0126874875,0.003888632046108842,0.062237670333649645,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0011331418902700715,0.8717465143840555
548.0,0.0015561077218930687,17.485875191851918,113.4379911151901,51.77617483764037,16.678596560722095,15.478635939174128,7.215198700433204,1.519462538213285,301.5286704109873,-0.030275793534144807,-0.07858855876272244,-0.04831276522857764,1.0,0.0019386415621907736,1.8705047498961242e-13,2.3,0.001671305038893932,0.36592068184980087,0.0,0.0011332720889824324,0.36538061916335757,0.1359617684050822,0.18296034092490043,1.75,5317479.513786456,0.003877283124381547,0.062236935709048403,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0011332720889824324,0.8733026159369421
549.0,0.001556120115400453,17.48543704702852,113.43985126355233,51.7762562170547,16.679100284651074,15.479505792908013,7.215359041240156,1.5194925001272208,301.52867274543064,-0.03027580451890884,-0.07858883321035981,-0.048313028691450974,1.0,0.0019329964069449692,1.8650580031085207e-13,2.3,0.001669073450858187,0.36592671187794723,0.0,0.0011334016321295978,0.36538351846840106,0.13596254083452503,0.18296335593897362,1.75,5317450.182209045,0.0038659928138899385,0.062236198797086695,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0011334016321295978,0.8748587298555889
550.0,0.0015561325637169082,17.484997594121488,113.44170890210222,51.77634093756713,16.67960202140429,15.480372461106473,7.215518889809661,1.519522426422577,301.5286750926419,-0.030275813781999224,-0.07858910741073964,-0.048313293628740414,1.0,0.0019273803100755497,1.85963929339188e-13,2.3,0.0016668516147577933,0.3659327078008865,0.0,0.0011335305251506604,0.3653864283919841,0.13596331691776914,0.18296635390044325,1.75,5317421.016809427,0.0038547606201510994,0.062235459628345785,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0011335305251506604,0.8764148561951476
