time_s,nkcc_multiplier,nkcc_ca_multiplier,nkcc_beta_increment,nkcc_cycles_fmol_s,nkcc_cl_fmol_s,ae4_cl_fmol_s,ae2_cl_fmol_s,nhe_fmol_s,nbc_cycles_fmol_s,vrac_conductance_S,vrac_current_A,vrac_cl_fmol_s,tmem16a_current_A,tmem16a_cl_fmol_s,total_cl_export_fmol_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,relative_swelling,v_apical_V,v_basolateral_V,v_trans_V,pump_cycles_fmol_s,k_apical_fmol_s,k_basolateral_fmol_s,para_cl_return_fmol_s,lumen_osm_mOsm,volume_l_pL,flow_pL_s,chloride_derivative_mM_s,cell_bulk_charge_rate_fmol_s,lumen_bulk_charge_rate_minus_outflow_fmol_s,carbon_accounting_fmol_s,buffer_site_accounting_fmol_s,water_volume_accounting_pL_s,homeostasis_charge_fmol_s,ae4_charge_fmol_s,apical_current_A,basolateral_current_A,cell_speciation_alkalinity_mM,lumen_speciation_alkalinity_mM,cumulative_pL
220.0,2.5,1.0,1.5,0.14172574727650727,0.28345149455301455,0.005067521804701325,-0.0022046717035760057,0.008724720482637623,0.0,0.0,0.0,0.0,-2.646641039589697e-11,0.274305014185787,0.274305014185787,13.153080001153214,122.79496518351918,62.250317360564665,5.484638843500851,4.7062343236169975,6.882473341974442,1.319715192580199,0.04771267509728383,-0.03291638200691542,-0.07150995793589379,-0.03859357592897837,0.049985513423003454,0.039591129480684974,0.18472837128209835,0.11349969759290628,321.1287858778487,0.1051551329266039,0.0010310265853207795,0.005324120902915434,2.3245294578089215e-16,1.734723475976807e-18,1.0842021724855044e-19,0.0,1.0842021724855044e-19,1.0408340855860843e-17,0.0,-3.2311742677852644e-27,-1.9387045606711586e-26,0.0,-8.881784197001252e-16,0.2249619638089509
230.0,2.5,1.0,1.5,0.14156439334398707,0.28312878668797414,0.005078389939330311,-0.002205171752658125,0.008729548083570423,0.0,0.0,0.0,0.0,-2.6475084180617305e-11,0.27439491162957197,0.27439491162957197,13.130091246045666,122.8322825327433,62.302623625933386,5.48783468087939,4.70901934117624,6.88250125046404,1.3205023388764479,0.04833758504480312,-0.03289700927396272,-0.07150306150830639,-0.03860605223434367,0.04990537186310441,0.03960769026818804,0.18488184949827974,0.1135328790351812,321.1288214155658,0.10515694668600287,0.0010313893372005723,0.005138270454470707,-2.1684043449710089e-16,3.46077333457373e-16,-1.0842021724855044e-19,0.0,-1.0842021724855044e-19,-3.642919299551295e-17,0.0,3.554291694563791e-26,-1.2924697071141057e-26,5.329070518200751e-15,-8.881784197001252e-16,0.2352740544135014
240.0,2.5,1.0,1.5,0.14140831986077462,0.28281663972154925,0.005088950133855685,-0.0022056519555336876,0.008733941276540334,0.0,0.0,0.0,0.0,-2.648344706005537e-11,0.2744815867671738,0.2744815867671738,13.107970175269873,122.86828185330752,62.35310507372428,5.4909135168629435,4.711711107604923,6.8825337913301965,1.3212634127448213,0.04894179627391004,-0.03287832669875575,-0.07149640257076759,-0.03861807587201184,0.04982796811945847,0.039623673372480045,0.18502994527523514,0.11356485534154168,321.12885554368785,0.10515869514818495,0.0010317390296369882,0.004959112059860045,1.682681771697503e-16,-1.3010426069826053e-17,3.2526065174565133e-19,0.0,0.0,2.949029909160572e-17,0.0,-3.2311742677852644e-27,-1.2924697071141057e-26,0.0,-8.881784197001252e-16,0.24558970680674366
250.0,2.5,1.0,1.5,0.14125732874101093,0.28251465748202187,0.005099229245600759,-0.002206113039750489,0.008737926439953251,0.0,0.0,0.0,0.0,-2.6491510755962358e-11,0.2745651610859829,0.2745651610859829,13.08668145403819,122.90301261422282,62.401827301655565,5.493880067900852,4.714313068290026,6.882570567094221,1.3219992770511495,0.04952599380776168,-0.03286030873263176,-0.07148997339868587,-0.038629664666054116,0.04975321040010519,0.03963910059462631,0.18517285009125142,0.1135956746815612,321.1288883178653,0.10516038087215379,0.0010320761744307572,0.004786384594115987,-1.5612511283791264e-17,-3.8163916471489756e-17,3.2526065174565133e-19,0.0,-1.0842021724855044e-19,-1.734723475976807e-18,0.0,0.0,6.462348535570529e-27,7.105427357601002e-15,0.0,0.25590879297433383
260.0,2.5,1.0,1.5,0.14111124614284368,0.28222249228568735,0.005109244085209005,-0.0022065557797100893,0.008741528739256602,0.0,0.0,0.0,0.0,-2.6499286559622607e-11,0.2746457516119146,0.2746457516119146,13.066191071231431,122.93652244987122,62.44885338838656,5.49673864505237,4.716828352470084,6.882611202233272,1.3227107628353412,0.05009083740313747,-0.03284293080366766,-0.07148376637541062,-0.038640835571742964,0.049681008763850155,0.039653992819711326,0.18531075002835326,0.11362538265177896,321.1289197953844,0.10516200629396624,0.0010324012587932475,0.004619844392226888,-1.3010426069826053e-16,1.48318857196017e-16,2.168404344971009e-19,0.0,-1.0842021724855044e-19,-1.9081958235744878e-17,0.0,1.9387045606711586e-26,-6.462348535570529e-27,1.7763568394002505e-15,-1.7763568394002505e-15,0.26623118989541056
270.0,2.5,1.0,1.5,0.14096991339446358,0.28193982678892715,0.005119005414566863,-0.002206980957832348,0.008744772100265552,0.0,0.0,0.0,0.0,-2.650678533130076e-11,0.2747234709036804,0.2747234709036804,13.04646640876975,122.96885714649417,62.49424404378374,5.499493274120958,4.719259876353781,6.882655343027122,1.3233986725046616,0.05063696408556195,-0.032826169274129166,-0.07147777403463701,-0.03865160476050784,0.04961127558397317,0.03966836999389016,0.18544382532581732,0.11365402258503152,321.12895003303123,0.10516357373580851,0.0010327147471617005,0.004459260826751085,-2.5326962749261384e-16,2.5153490401663703e-16,0.0,0.0,0.0,2.42861286636753e-17,0.0,2.5849394142282115e-26,0.0,-7.105427357601002e-15,-8.881784197001252e-16,0.27655677930593675
280.0,2.5,1.0,1.5,0.14083318175271256,0.2816663635054251,0.005128520470512779,-0.0022073893419797246,0.008747679217706887,0.0,0.0,0.0,0.0,-2.6514017506701833e-11,0.27479842711974106,0.27479842711974106,13.027476250098557,123.00006067005162,62.53805772592175,5.502147769467049,4.721610405867609,6.882702657015329,1.3240637819432932,0.05116498982406914,-0.03281000140473842,-0.07147198908788786,-0.03866198768314944,0.04954392578790595,0.03968225115477079,0.18557225017706463,0.11368163577573555,321.12897908595284,0.10516508541413408,0.0010330170828268149,0.004304413867028037,-3.2959746043559335e-16,2.723515857283587e-16,3.2526065174565133e-19,0.0,0.0,-2.42861286636753e-17,0.0,2.908056841006738e-26,-3.2311742677852644e-27,0.0,8.881784197001252e-16,0.2868854474792475
290.0,2.5,1.0,1.5,0.14070090938630264,0.2814018187726053,0.005137794530397213,-0.002207781673173312,0.008750271584530612,0.0,0.0,0.0,0.0,-2.652099310785426e-11,0.27487072413110186,0.27487072413110186,13.009190754470147,123.03017521677411,62.58035073945424,5.504705778605613,4.723882593960813,6.882752832227258,1.3247068419825705,0.0516755106984117,-0.032794405321922966,-0.071466404441429,-0.038671999119506036,0.049478876963334174,0.039695654483934535,0.18569619268383333,0.1137082616511162,321.1290070070948,0.10516654344691008,0.001033308689382015,0.00415509268290902,-1.8041124150158794e-16,1.97758476261356e-16,0.0,0.0,0.0,1.3877787807814457e-17,0.0,1.6155871338926322e-26,0.0,-7.105427357601002e-15,0.0,0.29721708502197314
300.0,2.5,1.0,1.5,0.14057295964919528,0.28114591929839056,0.005146831862133341,-0.0022081586596659633,0.008752569532977912,0.0,0.0,0.0,0.0,-2.65277217565644e-11,0.2749404616607584,0.2749404616607584,12.991581412770097,123.05924127538519,62.6211773230246,5.507170808716084,4.726079002178181,6.882805576289926,1.3253285794946996,0.052169103767358393,-0.03277935998639392,-0.0714610132058095,-0.03868165321941558,0.04941604938500085,0.039708597365224856,0.1858158149105328,0.11373393790692522,321.12903384696403,0.10516794986003948,0.001033589972007895,0.004011094790397963,-1.249000902703301e-16,5.984795992119984e-17,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,3.2311742677852644e-27,-7.105427357601002e-15,0.0,0.3075515866836185
310.0,2.5,1.0,1.5,0.14044920010041756,0.2808984002008351,0.005155636283945636,-0.0022085209748240317,0.008754592281814499,0.0,0.0,0.0,0.0,-2.653421268919093e-11,0.27500773543682266,0.27500773543682266,12.974620994144665,123.08729769452849,62.66058972971596,5.509546242202229,4.728202112729428,6.882860615480546,1.3259296982651836,0.052646327761304956,-0.032764845162450845,-0.07145580870031613,-0.03869096353786529,0.049355365994819204,0.03972109644093508,0.1859312730010686,0.11375870061923561,321.12905965357544,0.10516930659304524,0.0010338613186090474,0.0038722254807658256,-1.700029006457271e-16,7.19910242530375e-17,-4.336808689942018e-19,0.0,-1.0842021724855044e-19,3.8163916471489756e-17,0.0,6.462348535570529e-27,1.2924697071141057e-26,3.552713678800501e-15,-1.7763568394002505e-15,0.3178888511782317
