record_type,label,scenario,topology_model_id,apical_pump_fraction,apical_k_fraction,fraction_provenance,continuation_path,root_success,failure_at_fraction,failure_reason,max_abs_raw_rhs,na_l_mM,k_l_mM,height_um,na_i_mM,k_i_mM,cl_i_mM,hco3_i_mM,pH_i,cl_target_residual_mM,pH_target_residual,normalized_ionic_distance,wt_cl_residual_mM,wt_cl_z,wt_pH_residual,wt_pH_z,optimizer_cost,attempted_capacity,calibration_valid,wt_gate2_pass,derived_height_boundary_hit,ae2_test_status,target_stage,conditional_slice,raw_rhs_vector,acid_base_full_rank,acid_base_cl_ph_rank,acid_base_flux_nullity,valid_wt_capacity_available,wt_gate_evaluable,secretion_target_read,interpretation
conditional_target_slice,M1_coupled_40pct,ae4_knockout,M1_COUPLED_APICAL_PUMP_K,0.4,0.4,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.008861207506082991,,,,,,,,,,,,,,,,,,,,,,LOC-B,model_anchored,-0.00813806800874;0.00886120750608;4.3071105819e-08;0.00239793802415;0.00111885875873;0.00242299939068;-0.00654501062243,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
conditional_target_slice,M1_coupled_40pct,ae4_knockout,M1_COUPLED_APICAL_PUMP_K,0.4,0.4,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.023503350191498497,,,,,,,,,,,,,,,,,,,,,,LOC-B,wt_reference_cations,0.0235033501915;0.00276531492772;0.000203197446689;0.00380550715432;0.0016314687504;0.00377763583198;-0.00180648185387,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
resolved_null_root,M1_pump40_k20,ae4_knockout,M1_COUPLED_APICAL_PUMP_K,0.4,0.2,predeclared parotid/model sensitivity; uncalibrated for mouse submandibular acini,cross-from-coupled-20,True,,,1.555754944929765e-12,118.93547722035973,5.557077875706747,60.34310621593367,21.703910964571044,123.47217509796575,47.65116372922053,57.097753524679305,7.36742142233366,11.151163729220528,0.47742142233366014,24.86768285389201,,,,,,,,,,,LOC-B,re-solved model root; not a target-manifold slice,-9.63118473862e-15;-4.48859699409e-16;-8.33209369555e-17;-5.18044890859e-13;1.71523609096e-16;6.55660947743e-17;1.55575494493e-12,,,,False,False,False,ionic sensitivity only; absolute flow/time uncertified and no WT-valid denominator
conditional_target_slice,M1_pump40_k20,ae4_knockout,M1_COUPLED_APICAL_PUMP_K,0.4,0.2,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.006545010622425635,,,,,,,,,,,,,,,,,,,,,,LOC-B,model_anchored,-0.000865691318026;-0.00116451833327;4.3071105819e-08;0.00239793802415;0.00116079174152;0.00246493237347;-0.00654501062243,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
conditional_target_slice,M1_pump40_k20,ae4_knockout,M1_COUPLED_APICAL_PUMP_K,0.4,0.2,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.030134897063922812,,,,,,,,,,,,,,,,,,,,,,LOC-B,wt_reference_cations,0.0301348970639;-0.0065312491274;0.000203197446689;0.00380550715432;0.00172432649196;0.00387049357354;-0.00180648185387,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
resolved_null_root,M1_pump20_k40,ae4_knockout,M1_COUPLED_APICAL_PUMP_K,0.2,0.4,predeclared parotid/model sensitivity; uncalibrated for mouse submandibular acini,cross-from-coupled-20,True,,,1.1659477728021359e-12,113.72978989706604,10.413218994926527,66.6386575255022,20.901382684029794,123.95521787617432,48.95391549344271,59.29479334541395,7.380976597169359,12.453915493442707,0.49097659716935915,25.75327142836233,,,,,,,,,,,LOC-B,re-solved model root; not a target-manifold slice,-1.20736753928e-15;-7.89299181569e-17;-9.92044987824e-18;-3.9865879564e-13;1.63705826095e-17;4.37217444807e-18;1.1659477728e-12,,,,False,False,False,ionic sensitivity only; absolute flow/time uncertified and no WT-valid denominator
conditional_target_slice,M1_pump20_k40,ae4_knockout,M1_COUPLED_APICAL_PUMP_K,0.2,0.4,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.014848706492669698,,,,,,,,,,,,,,,,,,,,,,LOC-B,model_anchored,-0.0145543833082;0.0148487064927;4.3071105819e-08;0.00240003545442;0.00112329211918;0.0024295301814;-0.00654501062243,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
conditional_target_slice,M1_pump20_k40,ae4_knockout,M1_COUPLED_APICAL_PUMP_K,0.2,0.4,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.01389157262400266,,,,,,,,,,,,,,,,,,,,,,LOC-B,wt_reference_cations,0.013891572624;0.0117215771922;0.000203197446689;0.00381615005168;0.0016436661075;0.00380047608644;-0.00180648185387,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
resolved_null_root,M1_coupled_area_sensitivity,ae4_knockout,M1_COUPLED_APICAL_PUMP_K,0.398,0.398,predeclared parotid/model sensitivity; uncalibrated for mouse submandibular acini,backstep-from-coupled-40,True,,,1.348758706513632e-12,116.11878655908944,8.254434339703701,63.54863812480236,21.143377062876514,123.92363779540707,48.33419649185077,58.34488551916367,7.375295505031398,11.834196491850768,0.48529550503139873,25.367018916604028,,,,,,,,,,,LOC-B,re-solved model root; not a target-manifold slice,-6.31439345256e-15;-4.3541559247e-16;-5.25838053655e-17;-4.33813413994e-13;1.03087510808e-16;4.04312607203e-17;1.34875870651e-12,,,,False,False,False,ionic sensitivity only; absolute flow/time uncertified and no WT-valid denominator
conditional_target_slice,M1_coupled_area_sensitivity,ae4_knockout,M1_COUPLED_APICAL_PUMP_K,0.398,0.398,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.008824108944507218,,,,,,,,,,,,,,,,,,,,,,LOC-B,model_anchored,-0.0081284219983;0.00882410894451;4.3071105819e-08;0.00239795899846;0.00111925588155;0.0024234174878;-0.00654501062243,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
conditional_target_slice,M1_coupled_area_sensitivity,ae4_knockout,M1_COUPLED_APICAL_PUMP_K,0.398,0.398,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.02347433455868711,,,,,,,,,,,,,,,,,,,,,,LOC-B,wt_reference_cations,0.0234743345587;0.00276514057409;0.000203197446689;0.00380561358329;0.00163237939413;0.00377865290468;-0.00180648185387,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
acid_base_identifiability,M2_conserved_carbon_buffer_NHE1,structural,M2_NOT_CALIBRATABLE_FROM_RELEASED_PAIR,,,not_applicable,,False,,,,,,,,,,,,,,,,,,,,,,,,,LOC-B,,,3,1,2,False,False,False,"released Cl/pH cannot distinguish indirect cation-current feedback from NHE1/carbon/buffer flux; total carbon, buffer pool, or a matched flux measurement is required"
wt_gate_status,all_round5_sensitivities,wt,M1/M2,,,no gland-matched submandibular split fraction and Stage A supplied zero valid capacities,,False,,,,,,,,,,,,,,,,,,,,,,,,,CAL-WT,,,,,,False,False,False,no Round-5 row can be frozen as a WT-validated predictive model; null ionic scans remain localization sensitivities
