time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,nkcc1_unrestricted_demand_fmol_s,nkcc1_finite_capacity_fmol_s,nkcc1_capacity_constraint_active
329.0,0.0011439665088492923,11.927353710822606,115.13511532141374,34.34096040036275,18.842153934418924,17.41458108275741,7.190451095777001,1.2792151011301953,301.4267200691572,-0.04048322549943923,-0.07996537220008575,-0.039482146700646516,1.0,0.007444968891359851,7.183302961059235e-13,2.3,0.0024831577385187715,0.2365066564674329,0.0,0.0022904014381436803,0.2790492854712649,0.1125107134564436,0.11825332823371645,1.75,1619484.4129545349,0.014889937782719702,0.04647625554097493,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0022904014381436803,1.1578223521468363,0.11825332823371645,1.0
330.0,0.0011433174489103332,11.920394292927654,115.1417460728898,34.314767017522165,18.850284911061067,17.423386028043065,7.190883918859618,1.2790206025895834,301.4265795568803,-0.04050232523758988,-0.07996787602188414,-0.039465550784294263,1.0,0.007414951627165086,7.154340704007578e-13,2.3,0.0024749950617777975,0.2365066564674329,0.0,0.0022929065433102786,0.2789096904136613,0.11246664872038514,0.11825332823371645,1.75,1616164.4183222908,0.014829903254330172,0.04644605510462491,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0022929065433102786,1.1600701107654832,0.11825332823371645,1.0
331.0,0.001142670342122501,11.913468563914986,115.14834403446125,34.28866182475044,18.858373445979193,17.432148082750135,7.191315515583269,1.2788266559649182,301.4264394988512,-0.04052137519212473,-0.0799703724449876,-0.03944899725286287,1.0,0.007385118979640444,7.125556574963238e-13,2.3,0.002466878880182175,0.2365066564674329,0.0,0.002295400907887605,0.278770498000355,0.1124226959752151,0.11825332823371645,1.75,1612861.193238408,0.014770237959280888,0.04641596979061473,0.0,0.0,-0.0,-0.0,0.0,0.0,0.002295400907887605,1.1623128004762062,0.11825332823371645,1.0
332.0,0.0011420251853259456,11.906576458559615,115.15490929339816,34.26264457645539,18.866419795014554,17.440867490500114,7.191745889880743,1.2786332611277913,301.42629989388354,-0.0405403754162274,-0.0799728614625101,-0.0394324860462827,1.0,0.0073554689734792915,7.09694866804505e-13,2.3,0.0024588088598725064,0.2365066564674329,0.0,0.0022978845869611945,0.2786317076013242,0.11237885506248431,0.11825332823371645,1.75,1609574.6554252536,0.014710937946958583,0.04638599975980898,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0022978845869611945,1.164550408094442,0.11825332823371645,1.0
333.0,0.0011413819753558125,11.899717910037987,115.16144193822092,34.23671502754473,18.874424212053867,17.449544493142696,7.192175045666099,1.2784404179318187,301.42616074079217,-0.04055932596338285,-0.07997534306813799,-0.03941601710475513,1.0,0.007325999658749444,7.068515101854467e-13,2.3,0.0024507846700075834,0.2365066564674329,0.0,0.0023003576352002655,0.2784933185827335,0.1123351258245183,0.11825332823371645,1.75,1606304.7228498273,0.014651999317498887,0.04635614516308351,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0023003576352002655,1.16678292072462,0.11825332823371645,1.0
334.0,0.0011407407090384487,11.892892849048769,115.16794205935675,34.21087293398312,18.88238694765327,17.458179329453174,7.192602986824927,1.278248126201633,301.42602203840283,-0.040578226887009246,-0.0799778172563773,-0.039399590369368055,1.0,0.00729670912316477,7.040254031315869e-13,2.3,0.0024428059830102775,0.2365066564674329,0.0,0.0023028201066813527,0.2783553303149405,0.11229150810605923,0.11825332823371645,1.75,1603051.3136654838,0.01459341824632954,0.04632640613746592,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0023028201066813527,1.1690103258001145,0.11825332823371645,1.0
335.0,0.0011401013831948332,11.88610120476525,115.17440974842054,34.1851180522154,18.890308250479553,17.4667722364937,7.193029717224572,1.2780563857445555,301.42588378554245,-0.04059707824083431,-0.07998028402228398,-0.039383205781449666,1.0,0.007267595479006578,7.012163635057603e-13,2.3,0.0024348724742470364,0.2365066564674329,0.0,0.0023052720550783327,0.27821774216436296,0.1122480017525407,0.11825332823371645,1.75,1599814.3462754684,0.014535190958013157,0.04629678281024082,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0023052720550783327,1.1712326110400775,0.11825332823371645,1.0
336.0,0.0011394639946366442,11.879342904003321,115.18084509883128,34.15945013971212,18.898188365976885,17.475323448350668,7.193455240704594,1.2778651963400016,301.42574598104864,-0.040615880078534304,-0.07998274336169867,-0.03936686328316436,1.0,0.007238656874927866,6.984242126801364e-13,2.3,0.002426983822264952,0.2365066564674329,0.0,0.0023077135334914297,0.27808055350141453,0.11220460661167639,0.11825332823371645,1.75,1596593.739279461,0.014477313749855732,0.04626727529529168,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0023077135334914297,1.1734497644861666,0.11825332823371645,1.0
337.0,0.0011388285401699118,11.872617872124623,115.18724820513494,34.13386895440533,18.90602753776302,17.48383319745397,7.193879561086788,1.2776745577507203,301.42560862375973,-0.040634632454102884,-0.07998519527099017,-0.039350562816887286,1.0,0.007209891483365891,6.956487743217175e-13,2.3,0.002419139708482146,0.2365066564674329,0.0,0.0023101445946313443,0.27794376369248897,0.11216132253179106,0.11825332823371645,1.75,1593389.4115319739,0.014419782966731782,0.04623788369700327,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0023101445946313443,1.1756617744625344,0.11825332823371645,1.0
338.0,0.0011381950165909038,11.865926032250288,115.19361916358179,34.10837425522299,18.91382600633741,17.49230171335311,7.1943026821658185,1.2774844697125964,301.4254717125245,-0.040653335421496656,-0.07998763974727813,-0.03933430432578147,1.0,0.007181297511892883,6.928898754875145e-13,2.3,0.0024113398174166636,0.2365066564674329,0.0,0.0023125652906534435,0.2778073721077859,0.11211814936335855,0.11825332823371645,1.75,1590201.282093557,0.014362595023785766,0.04620860810679938,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0023125652906534435,1.177868629609416,0.11825332823371645,1.0
