time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_cl_source_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,co3_i_mM,ae4_hco3_cell_source_fmol_s,ae4_co3_cell_source_fmol_s,source_signature_residual_fmol_s,ae4_charge_residual_fmol_s,cell_balance_residual_fmol_s
40.0,0.0017400704019759573,13.789973367440677,114.34251634005412,59.156100990146534,9.29715971275022,7.868085516923746,6.841647327460041,1.478767901264988,301.5746067603817,-0.026995583315841707,-0.0795667398819891,-0.0525711565661474,1.0,0.0764342330933184,7.37478236534632e-12,2.3,0.02408381119103534,0.3260456236865475,0.07050637687997072,-0.0008627218769426345,0.402515028953668,0.14711517898042734,0.16302281184327375,1.75,5517854.651379987,0.1528684661866368,0.05348467172141064,-0.07050637687997072,0.0,0.07050637687997072,-0.07050637687997072,-0.14101275375994143,0.0027385230392475163,0.0,-0.07050637687997072,0.0,0.0,4.163336342344337e-17
45.0,0.0017309736856389287,13.874171530067928,114.21403163835205,59.07606729553279,9.528474337453044,8.044217659265588,6.834781933485751,1.4802951133803972,301.5728916039473,-0.027026253360617654,-0.07952251316835174,-0.052496259807734084,1.0,0.0748201833339536,7.2190502382558025e-12,2.3,0.02479977562506597,0.3236505772953217,0.07422546725166304,-0.0008056258102162882,0.4015258757117889,0.14692304537324938,0.16182528864766085,1.75,5530312.524972587,0.1496403666679072,0.05375317742294409,-0.07422546725166304,0.0,0.07422546725166304,-0.07422546725166304,-0.14845093450332608,0.002755914543364205,0.0,-0.07422546725166304,0.0,0.0,2.7755575615628914e-17
50.0,0.0017259383778050503,13.940237863232845,114.09817075757815,59.01202924099566,9.734881761398034,8.19647698080011,6.827336553847884,1.4816182543805994,301.571745436855,-0.027050297402953723,-0.07948221315566929,-0.052431915752715566,1.0,0.07343043304621184,7.084959720179173e-12,2.3,0.02560180030325995,0.3219894366756833,0.07739794922283977,-0.0007572487866131379,0.40088974124169957,0.14675394546983467,0.16099471833784165,1.75,5538982.128315919,0.1468608660924237,0.05396117293528562,-0.07739794922283977,0.0,0.07739794922283977,-0.07739794922283977,-0.15479589844567954,0.002760347618000629,0.0,-0.07739794922283977,0.0,0.0,4.163336342344337e-17
55.0,0.001723226050358767,13.992159271404603,113.9924104536025,58.961912653283875,9.919512463618124,8.327981013628111,6.819476750347614,1.4827726019532665,301.57095455829875,-0.027068299581610732,-0.07944535235586754,-0.052377052774256805,1.0,0.07223681520478883,6.969793106325117e-12,2.3,0.026470006764603426,0.320833581008704,0.0801016922577294,-0.0007162434872349165,0.4004684516846073,0.14660650599220346,0.160416790504352,1.75,5545028.764922341,0.14447363040957767,0.05412299210462916,-0.0801016922577294,0.0,0.0801016922577294,-0.0801016922577294,-0.1602033845154588,0.0027543331982299154,0.0,-0.0801016922577294,0.0,0.0,2.7755575615628914e-17
60.0,0.0017218304323340624,14.033098335430157,113.8948020092189,58.923858987645424,10.08507019947541,8.44144783801122,6.811339504390499,1.483787112581198,301.5703916086805,-0.027080957859089042,-0.07941151357710127,-0.052330555718012234,1.0,0.07121368836259792,6.8710763731554395e-12,2.3,0.027387337462655467,0.320014467704145,0.08240358986403623,-0.0006814901609724004,0.4001814516633093,0.1464788238282169,0.1600072338520725,1.75,5549320.849692786,0.14242737672519584,0.05424957045071114,-0.08240358986403623,0.0,0.08240358986403623,-0.08240358986403623,-0.16480717972807246,0.0027400371150811177,0.0,-0.08240358986403623,0.0,0.0,2.7755575615628914e-17
65.0,0.0017211774938442781,14.065566666549548,113.80383007747427,58.896184932257576,10.233893845519853,8.53924694443566,6.803037798098084,1.484685097630093,301.5699788474221,-0.027088990032319394,-0.07938033390904499,-0.0522913438767256,1.0,0.07033809611302257,6.7865945641534644e-12,2.3,0.028339074955988752,0.3194087807329872,0.0843610940559724,-0.000652051369646445,0.3999809515173098,0.14636879024230745,0.1597043903664936,1.75,5552498.367959382,0.14067619222604513,0.05434932685122656,-0.0843610940559724,0.0,0.0843610940559724,-0.0843610940559724,-0.1687221881119448,0.0027193015553783474,0.0,-0.0843610940559724,0.0,0.0,2.7755575615628914e-17
70.0,0.0017209422308027827,14.091557901441032,113.71831113024297,58.877362653792126,10.368009085086365,8.623443224106625,6.7946644238124545,1.4854850655220255,301.56966745120815,-0.02709308590887093,-0.07935149625893206,-0.05225841035006114,1.0,0.06958972783810148,6.714388002599632e-12,2.3,0.029312518559335747,0.31892738288776035,0.0860235412312856,-0.000627137721779781,0.39983792271236707,0.1462742796736615,0.15946369144388017,1.75,5555026.137651302,0.13917945567620296,0.054428782191332244,-0.0860235412312856,0.0,0.0860235412312856,-0.0860235412312856,-0.1720470824625712,0.002693674606525249,0.0,-0.0860235412312856,0.0,0.0,1.3877787807814457e-17
75.0,0.0017209408475392235,14.112651621139468,113.63731837718072,58.86600914922977,10.48917220355698,8.695835385551753,6.786295176193813,1.4862015648331761,301.5694257617301,-0.027093884511510298,-0.07932472395558621,-0.05223083944407591,1.0,0.06895076735892872,6.652737688555093e-12,2.3,0.030296752497613627,0.3185069805577868,0.08743329633024173,-0.000606081380834072,0.3997341827078065,0.14619325632709682,0.1592534902788934,1.75,5557235.286991476,0.13790153471785743,0.05449300500434536,-0.08743329633024173,0.0,0.08743329633024173,-0.08743329633024173,-0.17486659266048346,0.002664443319987776,0.0,-0.08743329633024173,0.0,0.0,2.7755575615628914e-17
80.0,0.0017210688689590081,14.130095341061857,113.56012520684487,58.86087906989412,10.598907312487393,8.75798945018182,6.777991528124463,1.4868459493276973,301.56923257201663,-0.02709196476823389,-0.07929977651383718,-0.052207811745603294,1.0,0.06840568720412876,6.600145448787199e-12,2.3,0.03128246661703489,0.3181037892161016,0.08862673429753143,-0.0005883152767928795,0.39965791673474943,0.14612383069440185,0.1590518946080508,1.75,5559355.451429311,0.13681137440825752,0.05454593911045259,-0.08862673429753143,0.0,0.08862673429753143,-0.08862673429753143,-0.17725346859506286,0.0026326670979837327,0.0,-0.08862673429753143,0.0,0.0,2.7755575615628914e-17
85.0,0.0017212661369253785,14.144870004908453,113.48616174750838,58.86085824725175,10.698538270790381,8.811268150620062,6.769802890823805,1.4874270392594338,301.56907323723044,-0.027087843420510235,-0.07927644577381338,-0.05218860235330314,1.0,0.06794102041016807,6.555311918846765e-12,2.3,0.03226180377342764,0.31768867716350124,0.08963508449300099,-0.0005733565060722515,0.39960113012782145,0.14606428556656004,0.15884433858175062,1.75,5561539.791563524,0.13588204082033614,0.05459064990163575,-0.08963508449300099,0.0,0.08963508449300099,-0.08963508449300099,-0.17927016898600198,0.002599209639750057,0.0,-0.08963508449300099,0.0,0.0,2.7755575615628914e-17
90.0,0.0017214972558422276,14.157742511175371,113.4149811615199,58.8649569040711,10.789216033233593,8.856856635020971,6.76176852130961,1.4879516734918221,301.5689373839604,-0.02708197666990134,-0.0792545522234609,-0.05217257555355956,1.0,0.06754513165553365,6.51711446087329e-12,2.3,0.03322822142208234,0.31724343460489174,0.09048515432355465,-0.0005607929349081816,0.3995581897101423,0.14601308377047184,0.15862171730244587,1.75,5563884.363254185,0.1350902633110673,0.05462951225447489,-0.09048515432355465,0.0,0.09048515432355465,-0.09048515432355465,-0.1809703086471093,0.002564768293576634,0.0,-0.09048515432355465,0.0,0.0,2.7755575615628914e-17
95.0,0.0017217407438415988,14.169308154235885,113.34623318794472,58.87230216155496,10.87194222846673,8.89578505352725,6.75391914236737,1.4884251616353992,301.56881752353974,-0.027074763724461187,-0.0792339414725236,-0.05215917774806242,1.0,0.06720799782219854,6.484585990995063e-12,2.3,0.03417635966999608,0.31675789619434214,0.09119995184604109,-0.0005502722336215337,0.3995249771022299,0.14596886502383505,0.15837894809717107,1.75,5566443.114247967,0.13441599564439707,0.054664356321293836,-0.09119995184604109,0.0,0.09119995184604109,-0.09119995184604109,-0.18239990369208217,0.002529900395795256,0.0,-0.09119995184604109,0.0,0.0,4.163336342344337e-17
100.0,0.0017219830519267787,14.180024909445757,113.27964330672903,58.8821299757027,10.947589427649774,8.928948310713697,6.746278315146441,1.4888516473881235,301.5687081863428,-0.02706655118510197,-0.07921448095041635,-0.05214792976531438,1.0,0.06692100527795851,6.4568954200481e-12,2.3,0.03510191423340919,0.316227727284222,0.09179921953344874,-0.0005414928394169555,0.39949838867107207,0.14593043669799277,0.158113863642111,1.75,5569239.4365447275,0.13384201055591702,0.05469658164133842,-0.09179921953344874,0.0,0.09179921953344874,-0.09179921953344874,-0.1835984390668975,0.0024950463854284967,0.0,-0.09179921953344874,0.0,0.0,2.7755575615628914e-17
