variant_id,candidate_id,na_capacity_fraction,k_capacity_fraction,equilibrium_constant,saturation_strength,bath_hco3_mM,grid_axis,activity_scale,unit_contribution,fitted_contribution,calibration_residual,calibration_l2_error,calibration_max_abs_error,wt_baseline_closure_error,wt_baseline_admissible,assay_admissible,energetic_bias_source_supported,coherent_fixed_chassis_bath,fully_source_supported,knockout_target_read_by_calibrator,simulation_status,ae4_ko_endpoint_flow_ratio,ae4_ko_integrated_flow_ratio,wt_endpoint_flow
R2_0672_C8_213_SAT_fNa0.48387097_Keq0.1_sat100_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,0.1,100.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[0.004760880664251293, -7.487900309712492e-05, -0.009372003322308337, 0.014058004983462505]","[0.0, -0.0, -0.0, 0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0673_C8_213_SAT_fNa0.48387097_Keq1_sat0.01_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,1.0,0.01,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[41.129505766775345, -42.473366067385925, 2.6877206012211587, -4.031580901831738]","[0.0, -0.0, 0.0, -0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0674_C8_213_SAT_fNa0.48387097_Keq1_sat0.1_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,1.0,0.1,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[4.112950682163366, -4.2473368825556985, 0.26877240078466436, -0.40315860117699653]","[0.0, -0.0, 0.0, -0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0675_C8_213_SAT_fNa0.48387097_Keq1_sat1_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,1.0,1.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[0.4112950692711949, -0.4247336910137411, 0.02687724348509235, -0.040315865227638525]","[0.0, -0.0, 0.0, -0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0676_C8_213_SAT_fNa0.48387097_Keq1_sat10_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,1.0,10.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[0.04112950693766808, -0.04247336912895582, 0.0026877243825754876, -0.0040315865738632314]","[0.0, -0.0, 0.0, -0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0677_C8_213_SAT_fNa0.48387097_Keq1_sat100_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,1.0,100.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0,"[0.004112950693872293, -0.0042473369131714, 0.00026877243859821376, -0.00040315865789732064]","[0.0, -0.0, 0.0, -0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0678_C8_213_SAT_fNa0.48387097_Keq10_sat0.01_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,10.0,0.01,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.0004725678578063458,"[5.057059981804862, -50.6198140388454, 91.12550811408107, -136.6882621711216]","[0.0023898040023997216, -0.023921297082892756, 0.04306298616098607, -0.06459447924147911]","[0.04127314267887971, -0.023921297082892756, 0.004179647484506083, 0.013172198111480862]",0.04966565228507538,0.04127314267887971,0.0014380885933017375,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0679_C8_213_SAT_fNa0.48387097_Keq10_sat0.1_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,10.0,0.1,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.004725678481772383,"[0.5057060226674744, -5.061981516835184, 9.11255098833542, -13.668826482503128]","[0.0023898040694223808, -0.023921297129237556, 0.04306298611963035, -0.06459447917944552]","[0.041273142745902366, -0.023921297129237556, 0.004179647443150365, 0.013172198173514449]",0.04966565237606643,0.041273142745902366,0.0014380885956370216,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0680_C8_213_SAT_fNa0.48387097_Keq10_sat1_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,10.0,1.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.04725678472143276,"[0.05057060251161735, -0.5061981528130248, 0.9112551006028149, -1.3668826509042225]","[0.002389804076124648, -0.023921297133872036, 0.04306298611549477, -0.06459447917324217]","[0.04127314275260464, -0.023921297133872036, 0.0041796474390147845, 0.013172198179717806]",0.049665652385165536,0.04127314275260464,0.0014380885958705503,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0681_C8_213_SAT_fNa0.48387097_Keq10_sat10_B21,C8_213_SAT,0.48387096774193544,0.5161290322580645,10.0,10.0,21.0,Na_K_capacity_x_equilibrium_x_saturation,0.4725678471180365,"[0.005057060253610434, -0.05061981529259754, 0.09112551007797422, -0.13668826511696133]","[0.0023898040767948744, -0.02392129713433548, 0.04306298611508121, -0.06459447917262183]","[0.04127314275327486, -0.02392129713433548, 0.004179647438601226, 0.013172198180338143]",0.04966565238607544,0.04127314275327486,0.0014380885958939031,False,True,False,True,False,False,not_run_round2_closure_localization,,,
