time_s,apical_export_difference_fmol,mass_balance_reconstruction_fmol,AE4_supply_difference_fmol,remaining_reservoir_difference_fmol,identity_error_fmol
8.160361223837963,1.198089492082041,1.198089413452312,1.085448017026811,19.585953335428066,7.862972917216382e-08
8.972938788485532,1.284082024582182,1.2840819462384268,1.1922474025418697,19.60676018815701,7.834375526094561e-08
9.7855163531331,1.3669152816845458,1.3669152036034262,1.298722148510599,19.63040167676074,7.808111956997266e-08
10.59809391778067,1.446985790106538,1.4469857122652385,1.4048537813136697,19.656462800902,7.784129940624496e-08
11.57410248383929,1.539987951924268,1.5399878746165037,1.531853358249409,19.690460215486475,7.730776441228215e-08
12.550111049897911,1.6300024693975825,1.630002392671976,1.6583049405079595,19.726897279689553,7.672560653482208e-08
13.526119615956532,1.7174571134604644,1.7174570372502664,1.7841826239986724,19.765320318601972,7.621019793013772e-08
14.502128182015152,1.802714111505401,1.8027140357505154,1.9094625079811363,19.80534320408419,7.575488569777633e-08
15.68636786870173,1.903648513175426,1.9036484384539207,2.0606366030410554,19.8555828964407,7.472150520548837e-08
16.870607555388307,2.002258340379689,2.002258266757849,2.210862601469075,19.907199066564793,7.36218401797828e-08
18.054847242074885,2.0989236899452752,2.0989236172656938,2.3601084892967306,19.959779603884606,7.267958146428555e-08
19.239086928761463,2.1939590816154375,2.1939590097427697,2.508345765385022,20.01298148749582,7.18726678172743e-08
20.677456861019316,2.307568755923551,2.307568684061085,2.687001281561781,20.078027329354263,7.186246619994563e-08
22.089036919939538,2.417465483916807,2.41746541205152,2.860809158867896,20.141938478669942,7.18652870546066e-08
23.50061697885976,2.5260718673052542,2.526071795438817,3.0330802417660516,20.2056031781808,7.186643724566011e-08
24.912197037779983,2.6336210928109196,2.6336210209446804,3.203789431847439,20.268763142756328,7.186623918187252e-08
26.644934571313414,2.7644678273688834,2.7644677555058266,3.4111736443217437,20.345300620669484,7.186305683859473e-08
28.377672104846845,2.894277979277377,2.8942779074215714,3.616148262936723,20.42046508736872,7.18558057499763e-08
30.110409638380276,3.0232633905233035,3.0232633186760154,3.8186970652075782,20.494028478385133,7.184728811893137e-08
31.843147171913706,3.1515871655658243,3.1515870937274286,4.018813352649756,20.565820990775897,7.183839567659334e-08
33.84314717191371,3.299043854229118,3.2990437824084324,4.246774977634437,20.646325927079573,7.182068539890452e-08
35.84314717191371,3.445930635836242,3.445930564034871,4.471515073275408,20.724179241094106,7.180137107098972e-08
37.84314717191371,3.5923542589546225,3.592354187170269,4.693062567218693,20.79930311190199,7.178435357246826e-08
39.84314717191371,3.7383925100461406,3.738392438276307,4.911457657022731,20.87165995059999,7.1769833631663e-08
41.84314717191371,3.8841015134461783,3.8841014416883795,5.126750471441816,20.941243761607005,7.175779881407607e-08
43.84314717191371,4.029521198283933,4.029521126535766,5.338999802709449,21.00807340802725,7.174816740729284e-08
