time_s,WT_q_out_pL_s,KO_q_out_pL_s,WT_cl_i_mM,KO_cl_i_mM,WT_ph_i,KO_ph_i,WT_volume_i_pL,KO_volume_i_pL,WT_chloride_driving_force_V,KO_chloride_driving_force_V,WT_N_fmol_s,KO_N_fmol_s,WT_E_fmol_s,KO_E_fmol_s,WT_A_fmol_s,KO_A_fmol_s,WT_J_fmol_s,KO_J_fmol_s,WT_J_aux_fmol_s,KO_J_aux_fmol_s
479.0,0.001578190287595413,0.001254723800128968,54.44988152177418,38.430262883317994,7.025097093598995,7.251056369732397,1.4039021474499083,1.353526073182911,0.002349995302563846,0.001917915991604055,0.1440987618140978,0.1440987618140978,-0.0008401414540144323,-0.0008401414540144323,0.07150526449025488,0.0,0.3714437306449712,0.303148636172946,0.0,0.0
480.0,0.0015780379248633292,0.0012545337477012004,54.44443768957496,38.42198486928565,7.025152530798925,7.2512944445532455,1.4038118405175755,1.3534074204024584,0.0023497964162525094,0.00191766078693964,0.14410640814871944,0.14410640814871944,-0.0008400637607948977,-0.0008400637607948977,0.07150196281032736,0.0,0.3714122943806619,0.30310829814651474,0.0,0.0
480.4365251495658,0.0015779715637047331,0.001254450974634852,54.44206708664225,38.418379644235706,7.02517662971746,7.251398109833988,1.4037725151714116,1.3533557699261198,0.0023497097892455493,0.0019175496302875003,0.14410973419402553,0.14410973419402553,-0.0008400299284887699,-0.0008400299284887699,0.07150052418071977,0.0,0.37139860198791347,0.30309072856179603,0.0,0.0
481.0,0.0015778860370696673,0.0012543442996505118,54.4390122374016,38.413733428889124,7.025207646785234,7.251531689565666,1.403721839238645,1.3532892279354938,0.0023495981415119875,0.0019174063684158568,0.14411401695932613,0.14411401695932613,-0.0008399863312990257,-0.0008399863312990257,0.07149866953589844,0.0,0.3713809547821394,0.30306808437863353,0.0,0.0
482.0,0.0015777346226239026,0.001254155454246242,54.433605099699136,38.40550848783484,7.025262443256328,7.251768107959141,1.4036321424851403,1.353171493751186,0.002349400476338862,0.0019171527340637942,0.14412158836165395,0.14412158836165395,-0.0008399091646726274,-0.0008399091646726274,0.07149538464560837,0.0,0.3713497115327405,0.3030279945580934,0.0,0.0
482.4365251495658,0.0015776686744199992,0.001254073206990955,54.43125047377713,38.40192638388572,7.025286263543323,7.2518710521638825,1.4035930827909227,1.3531202429943348,0.002349314381134917,0.0019170422616578628,0.14412488176989693,0.14412488176989693,-0.0008398755617021568,-0.0008398755617021568,0.07149395333173118,0.0,0.37133610319756255,0.3030105331263417,0.0,0.0
483.0,0.0015775836799413634,0.0012539672097586219,54.42821621113461,38.397309971814806,7.025316921899717,7.252003702905572,1.40354274913319,1.3530542158312153,0.0023492034187376117,0.00191689988191341,0.14412912247245108,0.14412912247245108,-0.0008398322600622353,-0.0008398322600622353,0.07149210811820014,0.0,0.3713185643170501,0.30298802837350663,0.0,0.0
484.0,0.0015774332074414061,0.0012537795644582323,54.42284550651747,38.38913780647759,7.0253710843953225,7.252238477566319,1.4034536580618613,1.352937392166144,0.0023490069667167213,0.00191664780998934,0.14413661940955472,0.14413661940955472,-0.0008397556166149159,-0.0008397556166149159,0.07148883993242833,0.0,0.3712875128202864,0.3029481855126442,0.0,0.0
484.4365251495658,0.00157736766943061,0.0012536978399942363,54.4205067437224,38.38557869383336,7.025394628987221,7.252340706219001,1.4034148620611098,1.352886537616389,0.002348921399837181,0.0019165380183839287,0.14413988038592293,0.14413988038592293,-0.0008397222414905953,-0.0008397222414905953,0.07148741589719579,0.0,0.37127398799284467,0.3029308316892289,0.0,0.0
485.0,0.0015772832035492457,0.0012535925166167223,54.41749292088105,38.380991917468016,7.025424932412308,7.252472435085357,1.403364868154349,1.352821020758892,0.0023488111182926007,0.0019163965163154356,0.1441440792917331,0.1441440792917331,-0.000839679233478581,-0.000839679233478581,0.07148558006714843,0.0,0.37125655672892016,0.30290846566315316,0.0,0.0
486.0,0.0015771336666941334,0.0012534060645062461,54.41215838940265,38.37287223039542,7.02547846761235,7.252705578596223,1.403276378296803,1.3527050996211536,0.002348615871485698,0.0019161459989104762,0.14415150223878267,0.14415150223878267,-0.0008396031098017536,-0.0008396031098017536,0.0714823285012277,0.0,0.3712256957300606,0.3028688685118788,0.0,0.0
486.4365251495658,0.0015770685361321036,0.0012533248598164404,54.40983537649229,38.3693359791882,7.025501739413691,7.25280709717217,1.403237844043398,1.3526546378030462,0.0023485308294728113,0.0019160368846495163,0.14415473099191273,0.14415473099191273,-0.0008395699610365878,-0.0008395699610365878,0.0714809117077509,0.0,0.3712122538638179,0.3028516217505286,0.0,0.0
487.0,0.001576984595311154,0.0012532202064002103,54.40684184748504,38.364778670875815,7.025531691646493,7.252937911215261,1.4031881873795236,1.3525896267768263,0.002348421224324347,0.0019158962557927761,0.14415888837135607,0.14415888837135607,-0.0008395272447339176,-0.0008395272447339176,0.07147908521363268,0.0,0.3711949295120632,0.30282939374559303,0.0,0.0
488.0,0.0015768359878394452,0.0012530349405726754,54.40154323067647,38.356711164497455,7.025584606158386,7.253169436048482,1.403100294295779,1.3524746002584733,0.0023482271748409313,0.001915647284975952,0.14416623781107318,0.14416623781107318,-0.0008394516374252485,-0.0008394516374252485,0.07147585018334121,0.0,0.3711642577639235,0.3027900410503251,0.0,0.0
488.4365251495658,0.0015767712619991021,0.0012529542526432292,54.399235855055586,38.35319764481915,7.0256076080430505,7.253270249974918,1.4030620198560249,1.3524245277330498,0.002348142654257767,0.0019155388445941945,0.14416943455281375,0.14416943455281375,-0.0008394187135345936,-0.0008394187135345936,0.07147444059495318,0.0,0.3711508983156333,0.30277290080331754,0.0,0.0
