time_s,q_pL_s,na_i_mM,k_i_mM,cl_i_mM,T_i_mM,A_i_mM,ph_i,hco3_i_mM,V_i_pL,V_l_pL,cl_l_mM,ph_l,osm_lumen_mOsm,N,H,E,B,J4,P,CaCC,paraCl,Va_V,Vb_V,charge_max_fmol,current_residual_A,max_amount_rhs,max_volume_rhs
2975.0,0.0011941918988433277,12.429885198561214,121.80671419580608,61.43373753900131,18.856532347923697,29.075716158262313,7.311359857325029,17.74743753109973,1.785201411193471,0.10597095949421664,146.4605024901517,6.687786940239618,301.4429077282974,0.144690190670538,0.0008747056463974947,0.001051740527180978,0.0001460950254417247,0.0,0.048574902125047247,0.2901966860678033,0.11529396118694077,-0.04071760633718203,-0.08122690136556811,1.283240180782741e-11,4.52364397489937e-26,0.00036430600331849305,2.2612248569827895e-06
2980.0,0.0011941948218534477,12.429768601161799,121.80696196854937,61.434006637885254,18.856678030898355,29.075853901130667,7.311366393799211,17.74758984016767,1.7852126656020533,0.10597097410926724,146.46051889164676,6.68778842965483,301.4429080339431,0.14468945888467424,0.0008746597599684309,0.0010517505666356956,0.0001455946913757443,0.0,0.048574434185412185,0.29019738121261107,0.1152942157977717,-0.04071753417351544,-0.08122692447373799,1.283240180782741e-11,1.2924697071141057e-26,0.0003609749196757106,2.2405701115518588e-06
2985.0,0.0011941977181502807,12.429653071741075,121.80720746552062,61.434273280564206,18.856822384088797,29.07599037093967,7.311372869132225,17.74774075556021,1.7852238172085486,0.10597098859075141,146.46053514155463,6.6877899040996835,301.4429083367882,0.1446887337505717,0.0008746143058094106,0.0010517605138506167,0.0001450989479845816,0.0,0.04857397052346214,0.29019807000038583,0.11529446807900244,-0.04071746266795729,-0.08122694736858985,1.2860823517257813e-11,3.554291694563791e-26,0.00035767426855637385,2.220103737614462e-06
2990.0,0.0011942005879778562,12.429538600502498,121.80745070768184,61.43453748942462,18.85696541960832,29.076125579525783,7.311379283903432,17.74789029002436,1.7852348669504785,0.10597100293988929,146.4605512412859,6.6877913637312,301.44290863685836,0.14468801520805158,0.0008745692797708342,0.0010517703696749667,0.0001446077531003795,0.0,0.04857351110011151,0.29019875248926286,0.11529471805195768,-0.040717391814517334,-0.08122697005210608,1.2860823517257813e-11,3.2311742677852644e-26,0.00035440377222423214,2.199823999600144e-06
2995.0,0.0011942034315779644,12.42942517773979,121.80769171580106,61.43479928664934,18.857107149460216,29.076259538614345,7.311385638686594,17.748038456190603,1.78524581575683,0.10597101715788983,146.46056719223782,6.68779280870467,301.4429089341791,0.14468730319747042,0.0008745246777441304,0.0010517801349501203,0.0001441210649431574,0.0,0.04857305587663201,0.29019942873684557,0.11529496573776644,-0.04071732160725965,-0.08122699252625037,1.283240180782741e-11,1.2924697071141057e-26,0.00035116315546412924,2.1797292197888764e-06
3000.0,0.001194206249190194,12.429312793836015,121.80793051045379,61.43505869421921,18.85724758553878,29.076392259820597,7.311391934049927,17.748185266573945,1.7852566645481425,0.10597103124595098,146.4605829957944,6.687794239173669,301.44290922877565,0.1446865976597243,0.0008744804956613688,0.001051789810509684,0.00014363884211759917,0.0,0.04857260481464911,0.29020009880021,0.11529521115736403,-0.04071725204030231,-0.081227014792968,1.2875034371973015e-11,2.908056841006738e-26,0.0003479521455797274,2.159817709242607e-06
3005.0,0.0011942090410519358,12.429201439262805,121.80816711202502,61.43531573391508,18.85738673963029,29.076523754650754,7.311398170556155,17.74833073357499,1.7852674142365772,0.10597104520525968,146.46059865332674,6.687795655290073,301.44290952067297,0.144685898536239,0.0008744367294948702,0.001051799397179563,0.0001431610436091999,0.0,0.048572157876139006,0.29020076273590933,0.11529545433149366,-0.040717183107816766,-0.08122703685418588,1.2860823517257813e-11,3.554291694563791e-26,0.0003447704723562872,2.140087795623937e-06
3010.0,0.001194211807398421,12.429091104579497,121.80840154071102,61.43557042731962,18.857524623413973,29.076654034503044,7.311404348762568,17.748474869480937,1.7852780657259981,0.10597105903699211,146.460614166193,6.687797057204088,301.4429098098959,0.14468520576896587,0.0008743933752567226,0.0010518088957780275,0.0001426876287810542,0.0,0.04857171502342524,0.29020142059997933,0.11529569528070845,-0.04071711480402743,-0.08122705871181286,1.283240180782741e-11,3.554291694563791e-26,0.0003416178680432369,2.120537829543908e-06
3015.0,0.0011942145484627243,12.428981780432357,121.8086338165209,61.43582279581898,18.857661248462986,29.07678311066872,7.311410469221076,17.748617686466684,1.785288619912044,0.10597107274231363,146.46062953573858,6.687798445064264,301.442910096469,0.14468451930037915,0.000874350428998398,0.0010518183071157984,0.00014221855737007942,0.0,0.048571276219175695,0.2902020724479425,0.11529593402537297,-0.040717047123211156,-0.08122708036773983,1.283240180782741e-11,2.908056841006738e-26,0.00033849406733424403,2.101166175779096e-06
3020.0,0.0011942172644757915,12.428873457553735,121.80886395927861,61.43607286060473,18.85779662624538,29.076910994333094,7.311416532478256,17.748759196595806,1.7852990776822053,0.10597108632237896,146.4606447632962,6.687799819017509,301.4429103804166,0.14468383907346952,0.0008743078868103882,0.001051827631996103,0.00014175378948377864,0.0,0.04857084142639926,0.29020271833481326,0.11529617058566502,-0.040716980059696824,-0.0812271018238399,1.283240180782741e-11,3.2311742677852644e-26,0.0003353988073377667,2.0819712059426225e-06
