mechanism,ae4_expression,physiological,failed_gates,slowest_decay_s,max_real_eigenvalue_per_s,residual_max,jacobian_relative_step_error,condition_number,time_s,q_pL_s,na_i_mM,k_i_mM,cl_i_mM,T_i_mM,A_i_mM,ph_i,hco3_i_mM,V_i_pL,V_l_pL,cl_l_mM,ph_l,osm_lumen_mOsm,N,H,E,B,J4,P,CaCC,paraCl,Va_V,Vb_V,charge_max_fmol,current_residual_A,max_amount_rhs,max_volume_rhs
C1,0.0,True,,459.91603121051696,-0.0021743099438564055,1.897534975780596e-12,1.905167471144001e-10,29313.54763784654,1.0,0.001569079098817744,17.08443832625147,114.42448870018254,52.12870968760517,16.954842206349333,28.61831062505335,7.272315144582109,15.872539876326345,1.5378020105923416,0.10784539549408872,147.496428974572,6.583207500318186,301.5311645689943,0.18350448039042688,0.001039318471959747,0.0011766848556387824,6.868319183908855e-05,0.0,0.06153749401807519,0.36818564563649175,0.13675208178223588,-0.030127463122701245,-0.0787299593996736,1.4210854715202004e-14,5.816113682013476e-26,1.4909948276020657e-15,2.1315414711065017e-16
C2,1.0,False,na_i_mM;ph_i,500.5238222126619,-0.00199790690396974,3.770271698187473e-09,8.077366779259425e-11,19379.6898116893,1.0,0.0009355696204371184,57.45957537960516,63.041871241085595,42.288427462087775,9.833610660350597,13.343701818121886,6.521053367668118,7.128724824584089,1.2033695652479317,0.1046778481021856,144.3464973941789,6.415082484477624,301.3819514308672,0.08284605200054508,0.02902163275882647,-0.000278690855309439,0.04692351299209733,0.061573674799667806,0.07345495751719834,0.22698708794562278,0.09194089016679483,-0.034248472613596724,-0.06613343511759427,1.4210854715202004e-14,1.8417693326376007e-25,1.9158563624444014e-12,4.647705506045929e-12
C2,0.05,True,,434.9341879980519,-0.002299198424945337,7.75692222449313e-11,1.6117161122396807e-10,25850.622460361148,1.0,0.0015195237476125084,18.897264036345888,110.83952505383913,50.79795634225871,15.687909415618172,25.972355616240385,7.124636773588451,14.324858146856208,1.4737956238219638,0.10759761873806255,147.25404429700055,6.495009660535414,301.51949258978215,0.1741041076656066,0.003354371565587529,0.0009939125906956758,0.007194203181418871,0.0083744326688578,0.06434237169382259,0.35757656059077747,0.13382054334948648,-0.030707530381325305,-0.07822258155532359,1.4210854715202004e-14,1.0856745539758488e-24,2.4652155317106406e-14,8.713516019831502e-15
C2,0.0,True,,459.91603121051696,-0.0021743099438564055,1.897534975780596e-12,1.905167471144001e-10,29313.54763784654,1.0,0.001569079098817744,17.08443832625147,114.42448870018254,52.12870968760517,16.954842206349333,28.61831062505335,7.272315144582109,15.872539876326345,1.5378020105923416,0.10784539549408872,147.496428974572,6.583207500318186,301.5311645689943,0.18350448039042688,0.001039318471959747,0.0011766848556387824,6.868319183908855e-05,0.0,0.06153749401807519,0.36818564563649175,0.13675208178223588,-0.030127463122701245,-0.0787299593996736,1.4210854715202004e-14,5.816113682013476e-26,1.4909948276020657e-15,2.1315414711065017e-16
C3a,1.0,True,,431.1935963215151,-0.0023191439031816237,1.7863209907221513e-10,1.363257530294056e-10,26347.385722354695,1.0,0.0014172334956091522,24.50791143623427,102.22837718911329,48.27178847524285,7.766133244931733,18.71283877172506,7.022023772293842,6.932841960091469,1.3064366815110926,0.10708616747804577,147.25750425549154,6.7335560051100956,301.4953997387282,0.1336866394324838,0.00621312358776122,-0.0006753189746407573,0.06762309254574274,0.07106731382692884,0.06917428518866646,0.3377652737173202,0.12906700620655678,-0.03194611468155025,-0.07762595143936216,1.4210854715202004e-14,2.003328046026864e-25,8.84604889339613e-14,2.7671723419608885e-13
C3a,0.05,True,,444.22119412488803,-0.0022511307727448517,7.203330544901034e-12,1.7984589130959376e-10,27979.991662510944,1.0,0.0015557792545150412,17.67973251499123,113.24542611557499,51.76575376978569,15.621398619668184,27.247040971339555,7.240291568265603,14.555004050635144,1.503721972133554,0.10777889627257521,147.47625576168062,6.592010639846217,301.5280320010176,0.1780990463601807,0.0013424264875316434,0.0009868649307396725,0.008231324913694434,0.008409105692082142,0.06255759925380257,0.3655940633431831,0.13615356409560597,-0.030294151645410196,-0.07866931088933951,1.4210854715202004e-14,1.6414365280349143e-24,1.6556200854722647e-14,1.1158608759220812e-14
C3a,0.0,True,,459.91603121051696,-0.0021743099438564055,1.897534975780596e-12,1.905167471144001e-10,29313.54763784654,1.0,0.001569079098817744,17.08443832625147,114.42448870018254,52.12870968760517,16.954842206349333,28.61831062505335,7.272315144582109,15.872539876326345,1.5378020105923416,0.10784539549408872,147.496428974572,6.583207500318186,301.5311645689943,0.18350448039042688,0.001039318471959747,0.0011766848556387824,6.868319183908855e-05,0.0,0.06153749401807519,0.36818564563649175,0.13675208178223588,-0.030127463122701245,-0.0787299593996736,1.4210854715202004e-14,5.816113682013476e-26,1.4909948276020657e-15,2.1315414711065017e-16
C3b,1.0,True,,314.60542314402954,-0.0031785847491325346,4.8111277074895456e-11,2.375045553050082e-10,24601.919994331114,1.0,0.0017175278106368237,14.20628455458355,115.55704425617972,58.03972127694754,8.773001552068177,18.933634215767714,7.073359910922097,7.925599848045826,1.4787232745059342,0.10858763905318412,147.95277800935662,6.635823584973754,301.56612931521124,0.16185229216432193,0.00574611706278096,-0.000798701879133932,0.07457250186494033,0.0778449113358966,0.05477533325205146,0.4007507937854748,0.14663778289333979,-0.02754529721835862,-0.07988053038164149,1.4210854715202004e-14,3.877409121342317e-26,1.126191154221523e-13,7.452870785795707e-14
C3b,0.05,True,,440.5972850509815,-0.0022696463049795917,9.009510387243962e-11,1.854285690289859e-10,28515.749775569668,1.0,0.001586679931095872,16.694332814875562,114.61045976561304,52.798395896737595,15.979790590312621,27.48723293379417,7.249979545006542,14.910845192311383,1.530047857870091,0.10793339965547936,147.5470288963768,6.582013421056748,301.53531016666363,0.18128970617813797,0.0012764541768574076,0.0009974365011170619,0.00832396551249261,0.00846347435035278,0.06080888383904907,0.37204032320775093,0.13793041356504143,-0.029819852754830255,-0.07886794872693918,0.0,1.686672967783908e-24,2.000483112496454e-14,1.3956544253623804e-13
C3b,0.0,True,,459.91603121051696,-0.0021743099438564055,1.897534975780596e-12,1.905167471144001e-10,29313.54763784654,1.0,0.001569079098817744,17.08443832625147,114.42448870018254,52.12870968760517,16.954842206349333,28.61831062505335,7.272315144582109,15.872539876326345,1.5378020105923416,0.10784539549408872,147.496428974572,6.583207500318186,301.5311645689943,0.18350448039042688,0.001039318471959747,0.0011766848556387824,6.868319183908855e-05,0.0,0.06153749401807519,0.36818564563649175,0.13675208178223588,-0.030127463122701245,-0.0787299593996736,1.4210854715202004e-14,5.816113682013476e-26,1.4909948276020657e-15,2.1315414711065017e-16
C4a,1.0,False,ph_i,455.7164036189475,-0.00219434716867502,1.4568358557697005e-11,1.7439133551740474e-10,19318.76245240887,1.0,0.001289605851413947,31.107506347212507,90.62074665476747,46.38041061155094,10.223642494464253,13.355956844250796,6.521387520912596,7.41303931956869,1.2592254860161665,0.10644802925706974,145.94965841030833,6.252904676525863,301.46533906568874,0.11463636863196254,0.042991696534178635,-0.0004111881900178738,0.05685223001601225,0.07855367237810881,0.07149343172738468,0.30741522145201744,0.11919768795421723,-0.03258393885757268,-0.0746932270675553,1.4210854715202004e-14,3.2311742677852644e-26,3.899658373995862e-15,1.6364947591496204e-15
