time_s,q_pL_s,na_i_mM,k_i_mM,cl_i_mM,T_i_mM,A_i_mM,ph_i,hco3_i_mM,V_i_pL,V_l_pL,cl_l_mM,ph_l,osm_lumen_mOsm,N,H,E,B,J4,P,CaCC,paraCl,Va_V,Vb_V,charge_max_fmol,current_residual_A,max_amount_rhs,max_volume_rhs
112.0,0.001682219678545577,15.475787633601598,113.4355114034093,57.284798558718514,8.81887737793084,18.051514008625297,6.994213984663198,7.817630045635871,1.4570561254390928,0.10841109839272789,147.82734805416715,6.56685963930145,301.5529656001303,0.1404996123329581,0.009637515838176859,-0.0008002225551834287,0.07305611341445564,0.07652858095870976,0.05818215788386635,0.3932546838076149,0.14488734684334406,-0.027825118580674484,-0.07950745380420922,7.105427357601002e-14,1.2924697071141057e-25,0.04341677488795538,0.00024300365857657315
113.0,0.0016818654246871596,15.485454125830087,113.42466607737138,57.2693179002534,8.817826507668242,18.0568812321969,6.9945444847101985,7.81736843536251,1.4568131754089757,0.1084093271234358,147.82690249722512,6.567294993332157,301.55288560060774,0.1405056492886686,0.009613604092567032,-0.0007996456784761577,0.0730385080201948,0.0765577328779183,0.0582052980395137,0.3931816611957658,0.14486625704202444,-0.027831799631994513,-0.07950607598482347,7.105427357601002e-14,5.816113682013476e-26,0.043300476207319666,0.00024289042824604404
114.0,0.0016815123388501108,15.495041676871523,113.413887392906,57.25390610090136,8.816723403501259,18.062169129458812,6.994872582853757,7.81705509116922,1.456570356186757,0.10840756169425056,147.82645989618973,6.567732202460026,301.55280651126344,0.14051304716103355,0.009589915410019962,-0.0007990876571630336,0.07302152620913731,0.07658543516621037,0.05822821031315488,0.39310893542438946,0.14484528554862813,-0.027838452904299014,-0.07950471551216146,9.947598300641403e-14,7.754818242684634e-26,0.0431824486978587,0.00024274238026518805
115.0,0.0016811604214597266,15.504552315496403,113.40317389169282,57.23856250011329,8.8155706146811,18.067380186289952,6.995198313653185,7.816692342331839,1.4563277017764484,0.10840580210729864,147.82602024990007,6.5681710807011475,301.55272830621203,0.14052175103838116,0.009566445919259687,-0.0007985477434597441,0.0730051437189562,0.07661174403433664,0.05825090056038099,0.3930365036222137,0.14482443016764374,-0.027845078662741753,-0.07950337180424344,9.947598300641403e-14,1.2924697071141057e-26,0.043062779200901416,0.00024256094974812775
116.0,0.0016808096730492772,15.513988008234431,113.39252416011128,57.223286457228824,8.8143706024363,18.07251680745621,6.995521710805583,7.816282438995253,1.4560852449502806,0.10840404836524639,147.82558355075776,6.568611450000545,301.5526509603755,0.14053170775205073,0.00954319185366845,-0.0007980252150471913,0.07298933707896497,0.07663671388462306,0.058273374445526466,0.39296436303991855,0.1448036887702473,-0.027851677163213226,-0.0795020442967278,8.526512829121202e-14,1.6802106192483375e-25,0.042941551814633175,0.00024234752536322966
117.0,0.0016804600942360026,15.523350643949435,113.38193684017409,57.20807735589031,8.813125718039993,18.077581296503013,6.995842806948186,7.815827532281233,1.4558430169466363,0.10840230047118002,147.82514978381803,6.569053142137347,301.55257444968265,0.1405428662465104,0.009520149567001819,-0.0007975193814375865,0.07297408381776166,0.07666039684150984,0.058295637407077425,0.39289251107151213,0.14478305931202165,-0.02785824865023413,-0.07950073244780742,9.947598300641403e-14,9.04728794979874e-26,0.042818847206762004,0.00024210343963504454
118.0,0.0016801116856753036,15.532642053730056,113.37141061533863,57.19293459797997,8.81183823121115,18.082575881797627,6.9961616339169055,7.815329699952575,1.4556010478601602,0.10840055842837652,147.8247189290337,6.569495996052746,301.55249875080744,0.1405551770810658,0.009497315509965855,-0.0007970295756990184,0.07295936219972608,0.07668284334840031,0.058317694707161166,0.3928209452162735,0.14476253981068093,-0.027864793359935597,-0.07949943573218725,9.947598300641403e-14,8.401053096241687e-26,0.04269474348819732,0.00024182998198776654
119.0,0.0016797644480313206,15.541863996552687,113.36094422066111,57.17785760766694,8.810510309802545,18.087502697891676,6.996478222561749,7.81479092798657,1.455359366361323,0.10839882224015661,147.82429096058775,6.569939859580322,301.5524238413545,0.14056859277471473,0.009474686244836359,-0.0007965551603560129,0.07294515141741156,0.0767041017318198,0.0583395513994464,0.39274966309744824,0.14474212836252418,-0.027871311518151188,-0.0794981536456471,9.947598300641403e-14,7.108583389127582e-26,0.04256931557289215,0.00024152838964674973
120.0,0.0016794183819563186,15.551018177754187,113.35053642963187,57.16284582583179,8.809144046120672,18.09236380967017,6.996792602987764,7.814213134365525,1.4551180000586594,0.1083970919097816,147.82386584868652,6.570384587029171,301.5523496996171,0.14058306734350567,0.009452258423756608,-0.0007960955197225315,0.07293143134704025,0.07672421875588249,0.05836121237490366,0.39267866242941807,0.14472182312168475,-0.02787780334312394,-0.07949688569941597,7.105427357601002e-14,7.108583389127582e-26,0.042442635992101935,0.00024119985978354763
121.0,0.0016790734880581138,15.560106235704401,113.34018606360658,57.147898713773486,8.807741438119464,18.09716119507972,6.99710480438261,7.813598152012022,1.4548769752384427,0.10839536744029057,147.82344355909308,6.570830040756296,301.55227630474945,0.14059855662194598,0.009430028802340666,-0.0007956500653693808,0.07291818272673618,0.07674323921773925,0.05838268233201571,0.39260794103411656,0.14470162231540007,-0.027884269043779476,-0.07949563142442276,5.684341886080802e-14,2.5849394142282115e-26,0.042314774298256405,0.0002408455410738918
