calcium_uM,changes_increase_to_decrease,original_5pct_pL,original_change_percent,original_ratio,original_reproduction_absolute_ratio_error,original_valid,original_wt_pL,root_id,routing_family,routing_only_5pct_pL,routing_only_change_percent,routing_only_ratio,routing_only_valid,routing_only_wt_pL,saved_original_ratio
0.25,False,1.1715851322063742,14.542949697198072,1.1454294969719807,0.0,True,1.0228347840731686,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,1.175091679909112,4.958845376060439,1.0495884537606044,True,1.1195737488334956,1.1454294969719807
0.5,False,1.2421550665997492,16.696831460076456,1.1669683146007646,0.0,True,1.0644291289302974,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,1.246733716890235,5.498851375765801,1.054988513757658,True,1.181750986510383,1.1669683146007646
0.1,False,0.8367580788124779,16.317970175312404,1.163179701753124,0.0,True,0.7193712867851209,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.8398976766457608,6.17822003333417,1.0617822003333417,True,0.7910263294883627,1.163179701753124
0.25,False,0.9863302450769835,20.271414127922306,1.202714141279223,0.0,True,0.8200870108901432,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.9914220802967508,7.830976219336283,1.0783097621933628,True,0.919422335823172,1.202714141279223
0.5,False,1.028337074478457,21.330518556080126,1.2133051855608012,0.0,True,0.8475502179636278,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,1.034055839435424,8.33504625692234,1.0833504625692234,True,0.9544979904130981,1.2133051855608012
0.1,False,0.9641639480017462,12.493288728498264,1.1249328872849826,0.0,True,0.8570857505364154,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.9664881193726073,4.625714139968573,1.0462571413996857,True,0.9237577275502623,1.1249328872849826
0.25,False,1.1778465243265066,19.51479530489553,1.1951479530489553,0.0,True,0.9855236092917946,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,1.183472836139509,6.235979574941797,1.062359795749418,True,1.1140037874876982,1.1951479530489553
0.5,False,1.2442768841489513,21.663007090904806,1.216630070909048,0.0,True,1.022724091653633,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,1.2510517472534946,6.759967501057518,1.0675996750105752,True,1.1718360135704444,1.216630070909048
0.1,False,0.8228988086030503,15.185457049164807,1.151854570491648,0.0,True,0.7144120704854355,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.825768166613062,5.766012511751395,1.057660125117514,True,0.7807500226231116,1.151854570491648
0.25,False,0.96811099267389,19.063912132439764,1.1906391213243976,0.0,True,0.8131019511579796,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.9728168727299507,7.349436769614193,1.073494367696142,True,0.9062151623745747,1.1906391213243976
0.5,False,1.0110139153060884,20.256288059441307,1.202562880594413,0.0,True,0.8407160503792998,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,1.0163739981415205,7.890071838790691,1.078900718387907,True,0.9420458998861232,1.202562880594413
0.1,False,0.937536085494715,11.294850875019801,1.112948508750198,0.0,True,0.8423894529923357,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20,0.9395354967335156,4.053259028299494,1.040532590282995,True,0.9029371165375886,1.112948508750198
