time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,cacc_recruitment_factor,effective_cacc_conductance_S
2226.0,0.001193246299321285,12.467722334531668,121.72606489382743,61.34683063793824,18.809505823036954,17.69812461179034,7.309186011113578,1.7815654159588643,301.44280847578716,-0.04074088970593601,-0.08121932889001594,-0.04047843918407993,1.0,0.00030859807594449536,2.977518784909762e-14,2.3,0.0008901279985272831,0.28985048728582036,0.0,0.0010484742116745555,0.2899716211529352,0.11521146795283105,0.14492524364291018,1.75,5711562.921646614,0.0006171961518889907,0.048726302793229107,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0010484742116745555,0.10492731182225479,3.2947175912188008e-09
2227.0,0.001193248621490478,12.467629142805965,121.72626399213445,61.34704372579809,18.809621034195505,17.69824573550261,7.309191471439595,1.7815743302292286,301.4428087204253,-0.04074083266015522,-0.0812193476986611,-0.04047851503850588,1.0,0.0003081979119174412,2.9736577890044824e-14,2.3,0.0008900888700917695,0.28984934034891807,0.0,0.0010484822670713864,0.2899721742563862,0.11521167081706117,0.14492467017445904,1.75,5711569.24968371,0.0006163958238348824,0.048725931001326425,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0010484822670713864,0.10492731182225479,3.2947175912188008e-09
2228.0,0.0011932509393934615,12.467536123580691,121.72646272007754,61.34725642374837,18.809736035126043,17.698366636828034,7.309196921210138,1.7815832282056387,301.4428089646097,-0.0407407757185829,-0.08121936647178656,-0.040478590753203654,1.0,0.0003077984868746076,2.969803923212998e-14,2.3,0.0008900498192132485,0.289848195484285,0.0,0.001048490307538033,0.28997272634191634,0.11521187330731025,0.1449240977421425,1.75,5711575.566299772,0.0006155969737492152,0.04872555989219207,0.0,0.0,-0.0,-0.0,0.0,0.0,0.001048490307538033,0.10492731182225479,3.2947175912188008e-09
2229.0,0.0011932532530381096,12.46744327653325,121.72666107835374,61.34746873250278,18.809850826210546,17.6984873161749,7.3092023604462,1.7815921099177852,301.4428092083411,-0.04074071888102878,-0.08121938520946094,-0.04047866632843216,1.0,0.00030739979944743596,2.9659571743307253e-14,2.3,0.0008900108457303823,0.2898470526882152,0.0,0.001048498333102317,0.2899732774114085,0.11521207542427213,0.1449235263441076,1.75,5711581.871515179,0.0006147995988948719,0.048725189464569114,0.0,0.0,-0.0,-0.0,0.0,0.0,0.001048498333102317,0.10492731182225479,3.2947175912188008e-09
2230.0,0.001193255562432269,12.467350601341591,121.72685906765885,61.34768065277382,18.809965407830372,17.69860777395083,7.309207789168736,1.781600975395312,301.4428094516204,-0.0407406621473029,-0.08121940391175277,-0.04047874176444986,1.0,0.0003070018482697569,2.962117529176134e-14,2.3,0.0008899719494821381,0.2898459119570114,0.0,0.0010485063437920142,0.2899738274667425,0.11521227716863945,0.1449229559785057,1.75,5711588.165350264,0.0006140036965395138,0.048724819717202716,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0010485063437920142,0.10492731182225479,3.2947175912188008e-09
2231.0,0.0011932578675837775,12.467258097684352,121.72705668868716,61.347892185272535,18.810079780366124,17.6987280105626,7.309213207398651,1.7816098246678023,301.4428096944485,-0.04074060551721563,-0.08121942257873038,-0.04047881706151475,1.0,0.0003066046319780983,2.958284974593719e-14,2.3,0.0008899331303079129,0.28984477328698127,0.0,0.0010485143396348413,0.28997437650979313,0.11521247854110361,0.14492238664349064,1.75,5711594.447825332,0.0006132092639561966,0.04872445064884058,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0010485143396348413,0.10492731182225479,3.2947175912188008e-09
2232.0,0.0011932601685004651,12.467165765240713,121.72725394213192,61.34810333070886,18.81019394419779,17.69884802641633,7.309218615156812,1.781618657764792,301.4428099368262,-0.04074054899057771,-0.08121944121046205,-0.04047889221988434,1.0,0.00030620814921130025,2.954459497450282e-14,2.3,0.0008898943880473975,0.2898436366744375,0.0,0.0010485223206584673,0.28997492454243423,0.11521267954235476,0.14492181833721876,1.75,5711600.718960661,0.0006124162984226005,0.04872408225823252,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0010485223206584673,0.10492731182225479,3.2947175912188008e-09
2233.0,0.0011932624651901397,12.467073603690535,121.72745082868465,61.34831408979118,18.81030789970458,17.698967821917307,7.309224012464041,1.7816274747157579,301.44281017875437,-0.04074049256720022,-0.08121945980701584,-0.040478967239815616,1.0,0.0003058123986110286,2.9506410846398925e-14,2.3,0.0008898557225406817,0.28984250211570384,0.0,0.001048530286890508,0.2899754715665332,0.11521288017308151,0.14492125105785192,1.75,5711606.978776469,0.0006116247972220572,0.04872371454413088,0.0,0.0,-0.0,-0.0,0.0,0.0,0.001048530286890508,0.10492731182225479,3.2947175912188008e-09
2234.0,0.0011932647576605921,12.466981612714228,121.72764734903593,61.34852446322686,18.81042164726513,17.69908739747017,7.309229399341117,1.781636275550128,301.4428104202338,-0.040740436246894614,-0.08121947836845968,-0.04047904212156506,1.0,0.00030541737882118416,2.946829723078181e-14,2.3,0.0008898171336281841,0.28984136960710466,0.0,0.0010485382383585277,0.289976017583957,0.11521308043397126,0.14492068480355233,1.75,5711613.227292969,0.0006108347576423683,0.04872334750529011,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0010485382383585277,0.10492731182225479,3.2947175912188008e-09
2235.0,0.0011932670459196132,12.46688979199288,121.72784350387471,61.34873445172168,18.810535187257287,17.69920675347871,7.309234775808772,1.7816450602972722,301.44281066126536,-0.04074038002947261,-0.08121949689486141,-0.0404791168653888,1.0,0.00030502308848841665,2.943025399707303e-14,2.3,0.0008897786211507414,0.2898402391449758,0.0,0.0010485461750900371,0.2899765625965661,0.11521328032571032,0.1449201195724879,1.75,5711619.464530312,0.0006100461769768333,0.04872298114046718,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0010485461750900371,0.10492731182225479,3.2947175912188008e-09
