time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,cacc_recruitment_factor,effective_cacc_conductance_S
122.0,0.0011481689566030073,14.902481355520957,115.60366216219579,57.63793471311744,14.040506957885908,12.64368834461032,7.058996565538447,1.5625157168093897,301.4400769805038,-0.04166452710619369,-0.0807570972346228,-0.0390925701284291,1.0,0.029253532941988583,2.8225368415911295e-12,2.3,0.006245071699783477,0.28772587169946967,0.0,0.0003786891649938318,0.2790580655102101,0.11147956294006055,0.14386293584973484,1.75,5723306.454002613,0.058507065883977166,0.0567250282812233,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0003786891649938318,0.1051187284328845,3.3007280727925737e-09
123.0,0.0011480597537322308,14.904026657021381,115.6115992619093,57.6272826534596,14.070008483315984,12.672482206771013,7.059772584452714,1.5629635855202055,301.4400196933979,-0.041667548989930074,-0.08075467966324883,-0.03908713067331875,1.0,0.02900628938426909,2.7986814648100335e-12,2.3,0.006209521665158437,0.2879298201374772,0.0,0.00038480224264297695,0.27903057705655127,0.11146478617447399,0.1439649100687386,1.75,5722177.30239179,0.05801257876853818,0.056729120179385695,0.0,0.0,-0.0,-0.0,0.0,0.0,0.00038480224264297695,0.1051187284328845,3.3007280727925737e-09
124.0,0.0011479532237613,14.905466744946738,115.61960439881256,57.61685762298234,14.09918490689122,12.700978155116,7.060544718766825,1.5634095640711276,301.43996355369217,-0.041670513191476494,-0.08075232008088583,-0.039081806889409335,1.0,0.028762135656837974,2.7751242113305064e-12,2.3,0.0061743350970914004,0.28813242798258093,0.0,0.00039083334874510093,0.27900378074910304,0.1114503222295532,0.14406621399129046,1.75,5721055.963253464,0.05752427131367595,0.056732932441866,0.0,0.0,-0.0,-0.0,0.0,0.0,0.00039083334874510093,0.1051187284328845,3.3007280727925737e-09
125.0,0.0011478493339445006,14.906803720657551,115.62767586995287,57.60665691778303,14.12804064530423,12.729180088101188,7.061313006795716,1.5638536826531475,301.43990853819815,-0.04167342028310391,-0.08075001749850387,-0.03907659721539996,1.0,0.0285210264268861,2.7518607072014025e-12,2.3,0.006139506600848009,0.2883336547615438,0.0,0.0003967838330567148,0.2789776667597374,0.11143616697213865,0.1441668273807719,1.75,5719942.652548928,0.0570420528537722,0.05673647084199933,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0003967838330567148,0.1051187284328845,3.3007280727925737e-09
126.0,0.001147748051742406,14.908039624336508,115.63581202093866,57.596677855780676,14.156580036090027,12.757091835916569,7.062077486157876,1.5642959704283663,301.4398546244268,-0.04167627083658241,-0.08074777094827554,-0.03907150011169313,1.0,0.02828291721081957,2.728886660408391e-12,2.3,0.0061050308960213275,0.2885334633683224,0.0,0.0004026550164678593,0.27895222541251646,0.11142231632113868,0.1442667316841612,1.75,5718837.567372582,0.05656583442163914,0.05673974097090478,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0004026550164678593,0.1051187284328845,3.3007280727925737e-09
127.0,0.0011476493447537428,14.90917645734288,115.64401122797736,57.58691777097051,14.184807364049254,12.78471718453032,7.062838193905952,1.5647364559260273,301.4398017903285,-0.041679065423487975,-0.08074557947645608,-0.039066514052968106,1.0,0.028047764103816795,2.706197834780178e-12,2.3,0.0060709028043558246,0.2887318188672824,0.0,0.0004084481964136604,0.2789274471345428,0.11140876622997767,0.1443659094336412,1.75,5717740.892604841,0.05609552820763359,0.05674274829781493,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0004084481964136604,0.1051187284328845,3.3007280727925737e-09
128.0,0.0011475531808163436,14.910216163531244,115.65227191305004,57.57737402040621,14.21272683732291,12.81205985370526,7.063595166424567,1.5651751667136624,301.4397500145131,-0.04168180461429285,-0.08074344214968197,-0.039061637535389125,1.0,0.027815524024397024,2.6837900735857864e-12,2.3,0.006037117256068623,0.2889286893901859,0.0,0.0004141646427376186,0.2789033225025656,0.11139551270417797,0.14446434469509295,1.75,5716652.795980799,0.05563104804879405,0.056745498121705554,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0004141646427376186,0.1051187284328845,3.3007280727925737e-09
129.0,0.0011474595279254817,14.911160650258907,115.6605925269826,57.56804397786732,14.240342613048938,12.839123520353983,7.06434843955604,1.5656121297671912,301.43969927600546,-0.04168448897889703,-0.08074135804817227,-0.03905686906927524,1.0,0.027586154453909235,2.66165927439905e-12,2.3,0.006003669278368577,0.2891240450456907,0.0,0.0004198056029418567,0.27887984219450207,0.11138255178382334,0.14456202252284536,1.75,5715573.4341477025,0.05517230890781847,0.05674799562791669,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0004198056029418567,0.1051187284328845,3.3007280727925737e-09
130.0,0.0011473683543426706,14.912011770800357,115.66897156377277,57.558925041243,14.267658774127025,12.865911797199871,7.065098048506254,1.566047371163336,301.43964955445216,-0.04168711908554935,-0.08073932627173233,-0.039052207186182984,1.0,0.02735961367140661,2.6398014117605592e-12,2.3,0.005970554001244445,0.2893178587344575,0.0,0.0004253722981490704,0.2788569970351832,0.11136987956099288,0.14465892936722874,1.75,5714502.948186388,0.05471922734281322,0.05675024584259093,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0004253722981490704,0.1051187284328845,3.3007280727925737e-09
131.0,0.0011472796285027455,14.912771344099358,115.67740754462558,57.55001462568944,14.294679354125881,12.892428255447596,7.065844027961923,1.5664809164255944,301.43960082989145,-0.04168969550158221,-0.08073734593326178,-0.03904765043167956,1.0,0.02713586050278703,2.6182125129733968e-12,2.3,0.00593776664680178,0.2895101051563258,0.0,0.0004308659281929779,0.2788347779486354,0.11135749216228034,0.1447550525781629,1.75,5713441.469121968,0.05427172100557406,0.056752253685847825,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0004308659281929779,0.1051187284328845,3.3007280727925737e-09
132.0,0.0011471933191290835,14.91344113820587,115.68589903148826,57.54131017135587,14.32140831472221,12.918676404062113,7.066586412000205,1.5669127902364481,301.43955308294807,-0.04169221879218198,-0.08073541616448118,-0.0390431973722992,1.0,0.02691485454651061,2.5968886798815683e-12,2.3,0.005905302534724266,0.2897007615501595,0.0,0.00043628766767675334,0.27881317600292993,0.1113453857660602,0.14485038077507975,1.75,5712389.113861046,0.05382970909302122,0.05675402392884336,0.0,0.0,-0.0,-0.0,0.0,0.0,0.00043628766767675334,0.1051187284328845,3.3007280727925737e-09
133.0,0.0011471093951314127,14.914022888857996,115.69444461198636,57.53280913610192,14.3478495698764,12.94465971178249,7.0673252342020545,1.567343016760883,301.43950629461625,-0.0416946895213064,-0.08073353610972975,-0.03903884658842335,1.0,0.026696555931927997,2.575826065552229e-12,2.3,0.005873157072191859,0.28988980679076576,0.0,0.00044163867090982157,0.27879218236328873,0.11133355658509285,0.14494490339538288,1.75,5711345.990200433,0.053393111863855994,0.05675556124374002,0.0,0.0,-0.0,-0.0,0.0,0.0,0.00044163867090982157,0.1051187284328845,3.3007280727925737e-09
134.0,0.0011470278257260963,14.914518283873107,115.70304291221755,57.524509003511795,14.374006963929489,12.970381587001928,7.068060527564708,1.5677716193770301,301.43946044644383,-0.041697108250321344,-0.08073170493143021,-0.03903459668110887,1.0,0.026480925536276026,2.555020895212582e-12,2.3,0.005841325759067208,0.29007722205961356,0.0,0.0004469200680621982,0.27877178833600375,0.11132200088360279,0.14503861102980678,1.75,5710312.193145912,0.05296185107255205,0.05675687016321299,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0004469200680621982,0.1051187284328845,3.3007280727925737e-09
135.0,0.0011469485803264402,14.914928980638715,115.71169258252952,57.516407275235345,14.39988429506523,12.9958453991393,7.068792324610823,1.568198620978784,301.4394155203272,-0.04169947553908183,-0.08072992180416176,-0.039030446265079934,1.0,0.026267924751854844,2.5344694437858835e-12,2.3,0.005809804178376671,0.29026299002418016,0.0,0.0004521329699511275,0.27875198532242196,0.11131071495999989,0.14513149501209008,1.75,5709287.809460276,0.05253584950370969,0.056757955127439454,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0004521329699511275,0.1051187284328845,3.3007280727925737e-09
