D_AE2,R_AE2,ae2_expression_for_loss,ae2_reuse_scope,ae2_source_path,calcium_uM,candidate_id,condition,exclusion_reason,genotype_numerical_status,new_genotype_simulation,paired_numerical_gate_pass,root_id,routing_family,status,target_share,wt_admissible,wt_status,wt_total_0_600_pL
-0.00048210479306431964,1.0004821047930643,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,0.5,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,inherited_baseline,,COMPLETE,False,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,True,WT_ADMISSIBLE,1.022724091653633
,,,,,0.1,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__share_0.10,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.1,False,NOT_RUN_REST_REJECTED,
,,,,,0.25,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__share_0.10,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.1,False,NOT_RUN_REST_REJECTED,
,,,,,0.5,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__share_0.10,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.1,False,NOT_RUN_REST_REJECTED,
,,,,,0.1,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__share_0.30,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.3,False,NOT_RUN_REST_REJECTED,
,,,,,0.25,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__share_0.30,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.3,False,NOT_RUN_REST_REJECTED,
,,,,,0.5,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__share_0.30,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.3,False,NOT_RUN_REST_REJECTED,
-0.0013223665626935777,1.0013223665626936,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,0.1,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,inherited_baseline,,COMPLETE,False,True,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,,True,WT_ADMISSIBLE,0.7144120704854355
-0.0015020287739817562,1.0015020287739818,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,0.25,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,inherited_baseline,,COMPLETE,False,True,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,,True,WT_ADMISSIBLE,0.8131019511579796
-0.0015538150778959814,1.001553815077896,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,0.5,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,inherited_baseline,,COMPLETE,False,True,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,,True,WT_ADMISSIBLE,0.8407160503792998
