attempt_id,cl_i_mM,cl_l_mM,k_i_mM,k_l_mM,na_i_mM,na_l_mM,ph_i,ph_l,physiology_gate_failures,resting_gate_pass,root_id,seed_kind,tic_l_mM,volume_i_pL,volume_l_pL
robust_00,49.24655334803248,121.87140779347533,126.59888112062833,5.398863812068669,2.2832776554440963,144.39241186897848,7.012488644479855,7.338205205810855,[],False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,WT_only_high_carbon,29.499023838143387,1.4668099295104529,0.10000240272568034
robust_01,49.36339335438104,123.7955621826391,130.15803546859874,5.748383937321506,1.9999999766731011,144.10525894004925,7.0152690072610415,7.343708345349594,"[""physiology:na_i_mM""]",False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,WT_only_high_carbon,27.51259773876004,1.394326421488818,0.10000445772635988
robust_02,49.21740899456145,123.18768720004154,125.94458297190236,5.428446515958341,2.4450463602190853,144.33703057325047,7.012930817611226,7.304136317052814,[],False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,WT_only_high_carbon,28.20855297277708,1.4783067304601396,0.10000263784696417
robust_03,49.363500140226115,118.01525292125682,129.92211887206363,7.142542357479414,1.999999969430778,142.78366813077415,7.014917321520211,7.470184096190631,"[""physiology:na_i_mM""]",False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,WT_only_high_carbon,33.22026918655728,1.3994672020287908,0.10000295236248727
robust_04,49.28574496141213,120.49926428194533,126.56039310615232,16.95627824083965,2.660114220706307,132.9224467699339,7.0116330275272025,7.407918577154586,[],False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,WT_only_high_carbon,30.78382157559716,1.4593755199301035,0.1000046216598523
robust_05,49.392814415537366,118.19452088085741,130.70402301999678,5.453848049925796,1.9999933922428157,144.46256850463925,7.012033675368981,7.461776888297788,"[""physiology:na_i_mM""]",False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,WT_only_high_carbon,33.05078874568256,1.3822444118756758,0.10000283131081233
robust_06,49.22951542226047,123.79632081799673,68.65539498626458,5.56356664329212,60.00000000305385,144.34217923106502,7.009308854828646,7.375363664842283,"[""physiology:na_i_mM""]",False,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,WT_only_high_carbon,27.45989794835924,1.471057738070083,0.1000078934846676
robust_07,49.364921879576606,119.91641506293377,130.07054604285088,14.615279105772316,2.3586500547264224,135.39315599267033,7.0148054235740505,7.500485407942936,[],False,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,WT_only_high_carbon,31.23699056816312,1.38828188269163,0.10000527734392888
robust_08,49.24577316112143,126.87348662806495,126.5812749352854,18.28447961230819,2.0000004827260214,131.95212085115023,6.996740949363389,7.599656797209769,[],False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,WT_only_high_carbon,24.052790526558812,1.4698860982394644,0.10002722099961547
robust_09,49.357920148500796,122.32538032179394,130.20897847864612,5.97906921732573,2.0000000210071276,143.98399099360387,7.01179177226263,7.43527551152935,[],False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,WT_only_high_carbon,28.873423821366035,1.392171312900065,0.10000576381943196
witness_00,48.40244991804608,142.7244035597241,88.51736344138617,19.08879280283628,38.97216264600169,130.78183759400443,6.904250069933748,6.800000017092245,[],False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,task21_resting_witness,8.569041241541026,1.4487606910922746,0.10005269661095227
witness_01,48.58536391708074,142.5563603813327,96.4011248174095,17.891572667988214,34.24800884598545,131.9677965695144,6.899677670650694,6.800000039643089,[],False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,task21_resting_witness,8.75703598946159,1.3788743293725803,0.10023717989404093
witness_02,48.50638416077049,138.79453144229464,101.22031838829616,20.56058354116408,29.555674873802303,129.59499057797717,6.882138653139963,7.218925658402159,[],False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,task21_resting_witness,12.214045405713403,1.3696814596972149,0.1000542831861414
witness_03,48.945641033705265,141.20397098497403,101.5016224843939,15.436289249745471,29.73478735667541,134.2995084921057,6.898996954575377,6.800000001046879,[],False,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,task21_resting_witness,10.230492115169719,1.3744656815218503,0.10018400697784054
witness_04,48.29470057991186,140.54692765282238,97.12037739161313,16.081763208741876,33.63210775402273,133.88790625306495,6.884930740697528,6.984117213775413,[],False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,task21_resting_witness,10.647452547167102,1.3658487758204485,0.10005212326404912
witness_05,48.5701757818587,134.72249472515225,67.14427385664939,15.622799299157151,59.999901416634195,134.517514083017,6.866395658743304,7.332607126315183,[],False,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,task21_resting_witness,16.30154951720247,1.4514932724970113,0.10005869132326616
witness_06,48.61069534504057,141.39129152042818,94.24085653604996,14.662771329938465,36.363490700572825,135.47514580846453,6.870528490785474,7.069557670808631,[],False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,task21_resting_witness,9.678521320167675,1.3729843219234246,0.10097941969223076
