attempt_id,candidate,capacity,domain_pass,fold,lower_fold,reference,root_id,seed_kind,upper_fold
legacy_03,1.2815203858693396e-08,K_basolateral,True,1.1442146302404816,0.01,1.1200000000000001e-08,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_03,2.1491941125519214e-08,CaCC,True,0.6844567237426501,0.01,3.14e-08,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_03,0.0002000000000002003,CO2_basolateral,True,0.010000000000010015,0.01,0.02,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_03,0.00010000000000010014,CO2_apical,True,0.010000000000010015,0.01,0.01,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_03,2.889604560314591e-11,paracellular_Na,True,0.09632015201048637,0.01,3e-10,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_03,3.748835414191758e-11,paracellular_K,True,0.7497670828383516,0.01,5e-11,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_03,3.612371799084755e-10,paracellular_Cl,True,1.444948719633902,0.01,2.5e-10,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_03,4.7099620509505556e-12,paracellular_HCO3,True,0.0941992410190111,0.01,5e-11,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_04,15.012353492729028,AE4,True,99.99807390354736,0.01,0.1501264265070657,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_04,0.8452220592100901,NKCC1,True,2.6413189350315314,0.01,0.32,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_04,5.000000000766541e-05,AE2,True,0.010000000001533081,0.01,0.005,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_04,7.440980590421933e-05,NHE1,True,0.010000000000010015,0.01,0.007440980590414482,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_04,0.006073942048046638,pump_apical,True,1.334861907953567,0.01,0.00455024,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_04,0.035114580098390594,pump_basolateral,True,0.4654034697842722,0.01,0.07544976,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,100.0
